GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
0500000US01097,01097,"Mobile County, Alabama",103022,3018,5662,1370,8568,1431,10052,1438,8627,1143,6742,1376,6205,1218,5316,1066,6351,1085,7436,1238,14792,2023,9274,1475,9774,1597,2111,698,813,383,745,515,198,226,356,190
0500000US01101,01101,"Montgomery County, Alabama",53027,2777,1930,652,3702,765,4962,928,4058,676,4041,913,2098,520,3944,1041,4251,963,3780,952,6867,1388,3862,811,5779,1067,1797,658,1209,529,171,193,390,243,186,182
0500000US01103,01103,"Morgan County, Alabama",34361,1853,1920,644,4505,969,4148,967,3111,816,1381,493,2448,728,2649,859,2713,854,1632,487,3589,941,2080,662,3596,1011,338,242,109,117,0,195,86,101,56,72
0500000US01115,01115,"St. Clair County, Alabama",26735,1627,1397,591,2203,881,2131,732,3532,908,1159,542,1195,594,1172,615,2197,943,1233,548,4328,1331,2410,845,2942,1021,687,493,0,195,96,160,0,195,53,88
0500000US01117,01117,"Shelby County, Alabama",60642,1923,1116,531,3477,853,4327,1013,3258,769,3160,670,2239,635,2647,651,2602,701,3208,797,10389,1666,7313,1006,8871,1408,4795,1039,1519,566,944,458,300,321,477,222
0500000US01121,01121,"Talladega County, Alabama",24302,1474,2144,890,3435,755,3561,1028,2094,749,2225,791,1856,659,1176,572,1400,602,2319,889,1673,737,1128,515,846,384,284,202,0,195,109,146,52,91,0,195
0500000US01125,01125,"Tuscaloosa County, Alabama",45372,2128,1468,517,4308,1034,5625,1114,3680,790,1510,371,1960,742,1967,730,2087,773,2677,771,7936,1470,3744,972,4806,913,1727,604,656,365,510,295,291,249,420,320
0500000US01127,01127,"Walker County, Alabama",18851,1324,1419,480,3940,785,2870,782,1753,595,1326,498,1017,334,896,430,719,390,974,488,2192,778,576,377,688,377,242,198,56,73,36,62,0,195,147,191
0500000US02020,02020,"Anchorage Municipality, Alaska",64320,2628,246,226,988,457,862,506,2139,608,2116,621,4412,818,2863,761,2229,692,1897,655,3840,925,4566,1068,13859,1768,11705,1660,5538,1060,2748,949,1800,588,2512,829
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",21049,1667,422,310,989,600,847,490,583,335,1125,677,458,297,1282,852,564,328,1065,681,1461,709,2377,959,4898,1294,2588,894,1616,831,629,489,78,135,67,113
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",23092,768,692,267,1050,365,1070,371,893,270,815,253,819,344,540,202,952,327,693,312,2497,557,2522,569,6068,811,2589,463,923,336,471,255,153,156,345,215
0500000US04001,04001,"Apache County, Arizona",15698,963,6867,666,3170,602,1465,383,710,304,255,160,474,241,293,178,736,405,350,249,550,282,655,353,119,182,0,204,54,94,0,204,0,204,0,204
0500000US04003,04003,"Cochise County, Arizona",33179,1669,2729,646,3315,798,4522,798,2930,697,2562,709,2059,735,1244,577,2688,981,2443,900,3611,883,2235,744,1454,521,1225,569,112,119,0,204,0,204,50,84
0500000US04005,04005,"Coconino County, Arizona",28464,1604,2913,525,2181,567,2980,835,1729,513,1488,497,540,318,652,375,851,400,1109,401,2593,812,3840,1022,4269,948,1950,667,969,453,224,257,138,133,38,64
0500000US04013,04013,"Maricopa County, Arizona",920114,9029,19669,2020,43637,3178,63120,3740,55099,3331,48816,2849,41592,3201,38933,3047,39051,2790,44988,2796,120660,4900,109118,5268,146098,5121,76091,3603,33148,2570,15872,1632,9556,1348,14666,1750
0500000US04015,04015,"Mohave County, Arizona",58167,2949,5395,1293,8483,1366,5608,1161,4328,1046,4013,1093,2421,687,3392,1005,4500,1191,3908,1142,6029,1151,4389,1086,3372,938,1487,668,425,344,184,221,75,123,158,155
0500000US04017,04017,"Navajo County, Arizona",23358,1352,4771,673,3429,840,2877,584,2256,580,1168,378,1319,565,1442,517,1057,472,772,358,1844,615,898,435,1131,540,356,244,0,204,0,204,0,204,38,63
0500000US04019,04019,"Pima County, Arizona",251474,5470,7446,1357,16761,1588,23188,2203,20859,1717,18449,1866,13652,1482,12976,1495,13679,1904,14872,1919,35546,2569,24981,2593,26100,2300,13050,1736,4196,906,2264,586,1461,432,1994,579
0500000US04021,04021,"Pinal County, Arizona",100589,3136,4654,1110,7618,1270,9907,1912,9357,1486,5152,984,5635,1149,4283,1168,6137,1203,7849,1499,13490,1832,11704,1700,9860,1470,3532,967,978,476,405,262,0,204,28,47
0500000US04025,04025,"Yavapai County, Arizona",69791,3002,4096,1259,5988,1175,6913,1323,7451,1564,4122,917,3013,824,3161,927,4355,1048,3002,847,8776,1804,4392,1226,9362,1806,2869,908,731,387,835,488,143,172,582,463
0500000US04027,04027,"Yuma County, Arizona",49974,2135,3655,910,5433,1046,5612,1082,4921,982,2110,627,2548,796,3849,1179,2268,705,3627,1033,6308,1345,3788,918,4067,951,1009,461,492,325,90,81,145,172,52,83
0500000US05007,05007,"Benton County, Arkansas",62840,2362,1938,621,4013,809,4668,864,3716,729,3952,848,2774,682,3882,839,4371,913,3579,842,8724,1385,7323,1337,6788,1169,3864,875,1888,560,300,203,362,307,698,321
0500000US05031,05031,"Craighead County, Arkansas",21589,1618,1709,609,2929,869,2723,741,1584,622,1071,545,993,418,2004,685,1378,542,1386,549,2598,765,1109,632,1136,531,684,455,163,187,122,150,0,197,0,197
0500000US05045,05045,"Faulkner County, Arkansas",26698,1258,969,584,2068,513,2888,629,1714,528,1091,425,1461,544,1681,561,1880,691,1045,396,4191,1035,3422,1061,2966,813,801,358,308,263,170,201,43,57,0,197
0500000US05051,05051,"Garland County, Arkansas",26135,1781,2276,812,3700,1001,3070,997,1742,599,1429,509,2000,877,1951,853,1183,625,1307,652,2783,961,1970,921,1837,611,475,409,281,218,0,197,0,197,131,128
0500000US05069,05069,"Jefferson County, Arkansas",15814,1143,1083,463,2651,741,2510,719,1753,423,1308,506,983,540,778,314,1489,601,549,314,1431,612,145,191,1095,546,39,62,0,197,0,197,0,197,0,197
0500000US05085,05085,"Lonoke County, Arkansas",18007,1363,853,347,1323,471,2458,796,1289,494,702,439,1010,505,1128,497,956,408,1852,617,3202,782,1425,554,1405,505,404,300,0,197,0,197,0,197,0,197
0500000US05119,05119,"Pulaski County, Arkansas",90571,3051,2520,653,6393,1170,7846,1176,6861,1179,5824,1065,4961,1139,5401,1171,5448,1090,5999,1102,13505,2053,7384,1173,9685,1361,4481,1079,1602,615,989,408,532,354,1140,522
0500000US05125,05125,"Saline County, Arkansas",34549,1768,1865,697,2878,701,4006,1040,2889,821,1783,562,855,435,2055,704,1835,600,2422,896,4428,1087,3768,1033,3381,1025,1637,584,530,296,83,133,86,147,48,78
0500000US05131,05131,"Sebastian County, Arkansas",29804,1705,1986,662,3392,756,3500,813,2407,632,1940,823,3348,869,1666,500,2055,706,1621,851,4203,1048,1602,548,899,379,309,243,499,391,271,238,0,197,106,147
0500000US05143,05143,"Washington County, Arkansas",44050,2519,2332,609,3669,804,3494,713,2452,666,2623,879,2192,641,2429,930,3206,974,2523,712,6698,1621,4166,811,4888,1127,889,349,1419,642,769,565,74,124,227,200
0500000US05145,05145,"White County, Arkansas",17640,1331,1354,583,1997,542,2397,649,1693,686,609,317,996,495,1312,712,1277,550,1441,780,1800,689,571,331,1222,653,525,402,300,366,51,83,0,197,95,171
0500000US06001,06001,"Alameda County, California",298896,4629,3506,633,5383,928,8406,1073,10048,1537,10448,1408,9809,1408,7774,1141,7947,1075,6320,1082,14137,1490,14733,1525,32505,2455,40250,2869,39728,2081,28591,2148,21895,2160,37416,2340
0500000US06007,06007,"Butte County, California",50565,2568,1410,510,3345,699,3419,1018,4162,1006,2972,721,3848,1223,3024,972,1970,549,1709,650,5528,1181,4991,1021,6378,1098,4353,1173,1920,656,669,382,367,255,500,361
0500000US06013,06013,"Contra Costa County, California",250470,5469,1509,482,2925,711,6042,1028,7625,1135,9692,1329,8444,1676,7400,1296,7304,1199,7430,1403,14030,1635,16710,2077,34942,2712,33232,2872,29084,2006,18813,2202,13390,1836,31898,2262
0500000US06017,06017,"El Dorado County, California",52217,2373,782,446,1277,508,2043,673,1501,645,2583,790,1586,506,1889,766,1714,604,1644,532,2913,830,5016,1170,8575,1240,7853,1234,4979,898,3776,1022,1476,553,2610,811
0500000US06019,06019,"Fresno County, California",160427,4222,2545,664,7534,1333,8904,1288,9864,1596,7922,1315,6699,1143,6621,1069,7298,1283,5942,1230,20433,2250,19724,2104,27051,2521,15691,1877,6533,1271,3980,888,1924,531,1762,579
0500000US06023,06023,"Humboldt County, California",31645,1719,1756,653,1853,672,2980,775,2797,797,1411,550,931,575,1120,386,860,434,1430,665,2512,860,3092,813,5807,1139,2334,802,1414,529,535,267,392,228,421,258
0500000US06025,06025,"Imperial County, California",27250,2220,1016,422,1722,522,1649,593,2688,789,1534,529,903,521,1207,604,1670,705,1714,613,3565,890,2549,764,4530,1018,2105,850,136,128,122,145,92,161,48,62
0500000US06029,06029,"Kern County, California",154029,4145,3936,922,7872,1341,9802,1440,7905,1357,8037,1503,6465,1108,7454,1093,6879,1377,7623,1414,18599,2149,18980,2228,29500,2921,11873,1772,5065,1360,2086,669,684,415,1269,567
0500000US06031,06031,"Kings County, California",20964,1524,549,336,1008,388,1742,463,1705,645,942,477,1158,518,858,476,893,400,1159,496,2400,646,2434,745,3178,906,2059,755,352,237,352,238,59,71,116,147
0500000US06033,06033,"Lake County, California",14713,1634,710,461,1161,552,1237,492,1213,602,1743,661,907,448,665,418,456,334,684,456,1551,665,791,366,1811,671,932,497,395,294,152,215,0,206,305,277
0500000US06037,06037,"Los Angeles County, California",1473521,8748,21505,1977,40878,3082,53766,2958,62840,3373,54260,3100,46085,3145,39920,3122,34644,2451,33882,2215,83628,4027,95293,4511,232312,6079,208583,6513,163551,5799,97221,3800,67744,4101,137409,5107
0500000US06039,06039,"Madera County, California",26536,1669,593,368,1480,586,1794,612,1558,610,1046,501,1134,447,1376,534,940,422,1151,551,3384,849,3626,1108,5258,1266,1908,672,607,353,411,316,196,184,74,98
0500000US06041,06041,"Marin County, California",66323,2169,503,326,592,481,1030,540,1580,558,1975,629,1789,624,1244,539,1361,464,1641,478,2877,728,4255,1079,5383,1104,5231,982,7239,1255,7246,1297,5584,992,16793,1676
0500000US06045,06045,"Mendocino County, California",20107,1464,1322,573,1802,625,2153,686,2170,750,1610,642,1104,446,802,439,729,429,335,267,1202,530,1430,583,2386,657,1651,632,649,358,501,334,23,40,238,226
0500000US06047,06047,"Merced County, California",40561,1936,652,421,1944,628,3587,877,1733,517,2649,740,2489,792,1875,811,2250,805,2065,677,4668,1193,4302,1073,6763,1211,3394,1014,1115,423,562,364,238,195,275,192
0500000US06053,06053,"Monterey County, California",61838,2623,1231,528,2066,601,3060,718,2900,769,3215,814,1890,644,2073,666,1450,453,1861,614,4586,968,5115,969,10243,1512,7425,1158,4481,774,3394,1032,1999,627,4849,958
0500000US06055,06055,"Napa County, California",31551,1478,791,377,609,278,1147,379,1084,415,1047,428,1507,491,762,386,1227,509,1171,569,2246,657,1657,454,4232,830,4429,981,3725,835,2269,527,1690,592,1958,535
0500000US06057,06057,"Nevada County, California",28880,2043,676,388,1095,617,927,408,1216,488,2111,662,1484,503,1116,436,1149,611,564,305,2692,749,3388,962,4320,922,3277,1012,2907,809,913,434,466,280,579,363
0500000US06059,06059,"Orange County, California",584632,7865,10262,1260,15153,1559,20331,2044,21822,1859,21707,1947,19286,2153,17485,1396,15177,1771,11968,1445,29876,2502,28096,2554,67716,3764,80033,3792,67956,4302,47542,3047,37255,2687,72967,4016
0500000US06061,06061,"Placer County, California",98999,3111,974,440,1540,482,2361,687,3936,929,3759,821,4084,738,3190,755,3103,740,2812,734,6924,1343,7180,1401,17994,2001,14440,1509,11084,1736,6470,1163,4383,857,4765,972
0500000US06065,06065,"Riverside County, California",457220,6742,9074,1366,14109,1738,19334,1867,21690,1866,19244,1823,17058,2002,15022,1510,16260,1760,14445,1578,39690,2685,44946,3114,85994,4726,62464,4042,41112,2849,16430,2169,9692,1396,10656,1502
0500000US06067,06067,"Sacramento County, California",295227,4744,4619,912,8356,1157,14456,1627,16133,1937,14188,1716,11915,1419,9956,1403,9014,1539,8101,1382,26927,2030,31115,2531,60992,3365,39480,2468,20427,1811,8375,1086,5494,1104,5679,1003
0500000US06071,06071,"San Bernardino County, California",366237,5962,10713,1337,13464,1512,15731,2056,15966,1458,17397,2103,15650,1889,13300,1951,13019,1719,10888,1552,36444,3026,41385,3470,67293,3783,47989,4045,27200,2636,10077,1722,4682,1150,5039,1038
0500000US06073,06073,"San Diego County, California",578303,8387,11888,1489,16361,1608,19503,2061,22373,2181,19402,1715,18342,1814,15639,1672,14474,2017,13295,1697,30975,2576,34045,2644,84926,4271,86838,4537,68796,3649,44847,3706,27498,2610,49101,3013
0500000US06075,06075,"San Francisco County, California",136000,4239,2659,710,4754,953,4689,966,4511,928,5803,1141,4248,917,3742,949,2693,812,2930,879,5632,1004,4197,851,12082,1436,12861,1520,12746,1618,10237,1510,10634,2034,31582,2817
0500000US06077,06077,"San Joaquin County, California",122916,3280,1960,636,4926,1035,6924,1296,5548,1042,6150,1311,4860,902,4557,991,2915,688,4369,1156,9983,1658,11905,1651,25512,2210,16502,1925,8046,1432,4304,1122,2167,818,2288,660
0500000US06079,06079,"San Luis Obispo County, California",66537,2785,1337,490,1766,634,3574,952,3279,786,2540,650,4176,1159,3212,820,1816,778,1711,577,3460,814,4234,1106,11689,1776,9813,1538,6066,1002,3204,941,1535,627,3125,571
0500000US06081,06081,"San Mateo County, California",155169,3835,951,383,2743,739,5406,1081,5108,870,4664,932,4268,857,4026,826,4158,936,3814,883,7624,1118,4620,895,12491,1406,16241,1779,16648,2036,13496,1753,10368,1179,38543,2291
0500000US06083,06083,"Santa Barbara County, California",72634,2670,1601,610,2447,616,2520,728,3512,843,3262,721,2992,736,2945,712,2130,533,1723,470,4045,884,5807,1133,10796,1523,7374,1217,6173,1224,4246,853,4237,997,6824,1038
0500000US06085,06085,"Santa Clara County, California",358845,4616,2735,800,5878,1146,9953,1010,10568,1330,12652,1647,10363,1369,9740,1132,7984,1140,8404,1290,17440,1848,15834,1762,29920,2256,41209,2841,41511,3378,35474,2756,27844,2297,71336,2944
0500000US06087,06087,"Santa Cruz County, California",56232,2964,598,329,1230,533,3313,1116,1750,486,2782,652,2302,592,1672,434,2023,589,1204,464,1990,662,2188,674,6936,1283,6480,1187,6729,1363,5208,1349,2729,790,7098,1360
0500000US06089,06089,"Shasta County, California",47147,1769,925,364,2280,718,3996,1032,3817,981,2885,745,2446,719,2122,713,2108,757,2170,746,5942,973,4849,957,6853,1260,3725,950,1521,404,629,259,354,192,525,247
0500000US06095,06095,"Solano County, California",88501,3096,1788,659,1805,567,3183,668,3218,652,4062,887,2469,657,1837,533,2178,579,1890,587,6464,1254,9119,1788,15991,1938,15013,1642,10926,1567,4036,901,2294,708,2228,654
0500000US06097,06097,"Sonoma County, California",114629,3594,2127,646,3015,729,3393,829,4859,1025,7543,1191,5498,1003,4252,972,3023,827,2885,806,6431,1243,8013,1189,15986,1806,19604,2186,11642,1399,5750,1055,4727,1090,5881,1141
0500000US06099,06099,"Stanislaus County, California",97945,3565,2052,734,3126,746,6298,1216,6354,1207,4022,1044,3570,874,3302,931,4282,884,3233,862,10208,1336,11250,1531,20768,2169,11119,1838,4657,1278,1383,515,1240,432,1081,594
0500000US06101,06101,"Sutter County, California",16917,1448,717,361,783,426,1317,401,1288,474,1111,431,732,311,616,273,573,292,762,386,1579,564,1577,610,2891,819,1579,517,568,279,407,274,222,131,195,222
0500000US06107,06107,"Tulare County, California",77556,3169,3837,832,5814,991,3890,874,3401,915,2818,697,3337,870,5451,1211,4181,995,4010,985,11590,1691,9781,1791,11515,1821,4199,1015,2160,751,837,437,150,94,585,477
0500000US06111,06111,"Ventura County, California",166511,4376,2594,572,3826,768,6701,1097,6292,1021,5486,1098,5588,1174,5903,1080,4265,816,3259,804,8283,1094,8953,1490,25300,2366,26070,2022,21737,1911,12956,1461,7024,1256,12274,1460
0500000US06113,06113,"Yolo County, California",36546,1957,1061,519,968,383,1110,380,1430,429,2032,700,1735,565,1349,508,1112,518,749,419,2651,713,3055,731,5585,1179,5209,991,3408,656,1996,623,1154,475,1942,665
0500000US06115,06115,"Yuba County, California",14220,1423,331,262,489,258,870,393,791,433,914,455,618,329,417,277,732,452,510,356,1120,559,1749,686,3150,787,1642,684,673,470,150,135,64,103,0,206
0500000US08001,08001,"Adams County, Colorado",106079,2600,1453,496,2980,667,4717,855,5514,840,4006,824,2296,525,3433,934,3946,1019,4463,1059,14346,1904,16546,1999,23702,2155,11772,1644,4697,1102,1129,428,765,473,314,226
0500000US08005,08005,"Arapahoe County, Colorado",147467,3875,1397,447,2738,645,7014,1043,8273,1292,7005,1144,5294,873,4757,939,4483,694,5823,1039,14932,1598,19079,1772,33691,2237,16729,1677,7492,1059,3698,723,1388,403,3674,643
0500000US08013,08013,"Boulder County, Colorado",80109,2252,581,284,2573,795,3555,700,5048,1002,3231,648,2945,708,3094,719,3023,779,1659,575,5004,929,8386,1187,16809,1732,8946,1354,6597,871,3674,848,1952,459,3032,932
0500000US08014,08014,"Broomfield County, Colorado",17004,899,686,439,429,269,847,309,812,293,589,276,605,297,415,270,515,340,259,184,1160,433,1751,592,3335,728,1794,574,2101,575,874,412,620,340,212,159
0500000US08031,08031,"Denver County, Colorado",145998,4477,2190,609,4930,910,8427,1225,9398,1383,6107,1348,4414,954,4547,805,4157,913,5620,990,18074,1751,16301,2112,28475,2366,16220,1762,8585,1294,3759,894,1811,548,2983,775
0500000US08035,08035,"Douglas County, Colorado",95424,2262,651,345,392,290,1581,485,3246,634,4210,859,3834,748,2514,716,1520,524,1615,555,3961,800,6116,1070,23275,2075,19444,1851,11981,1292,5939,1159,2530,644,2615,657
0500000US08041,08041,"El Paso County, Colorado",161230,4005,2312,710,6184,1047,11168,1576,9359,1450,6725,899,4801,1151,5652,1182,5535,1164,6207,959,21478,1893,23208,2188,31495,2656,15619,1764,6204,1129,2270,726,953,444,2060,673
0500000US08059,08059,"Jefferson County, Colorado",165043,2950,645,359,3905,891,9338,981,12546,1323,9622,1430,5298,855,5374,950,4264,853,5578,1046,15444,1735,18690,2033,35179,2578,18877,1864,10861,1499,4753,853,2243,607,2426,592
0500000US08069,08069,"Larimer County, Colorado",83795,2505,977,503,3902,1035,6428,1242,5401,942,4369,1287,3268,794,2481,683,2112,628,2613,816,10080,1396,9939,1386,16369,1553,8249,1063,4033,861,1684,552,689,383,1201,504
0500000US08077,08077,"Mesa County, Colorado",38483,2146,1631,516,3851,808,4608,995,1731,676,822,342,1168,537,2133,993,1986,668,2812,792,5257,1196,4271,1136,5291,1023,1856,589,482,286,400,269,105,113,79,101
0500000US08101,08101,"Pueblo County, Colorado",40340,2086,1173,409,2965,743,4393,930,3660,764,1979,596,2045,551,2253,550,1909,555,2343,711,6428,1194,4342,990,4781,901,1535,496,424,199,86,101,24,42,0,195
0500000US08123,08123,"Weld County, Colorado",72083,2201,1310,493,2805,729,4628,858,3749,643,2291,608,3070,691,2564,844,1953,584,3564,940,8731,1276,10932,1609,16356,1642,5810,1038,2179,589,993,449,326,237,822,315
0500000US09001,09001,"Fairfield County, Connecticut",218849,5054,210,177,290,182,1188,433,2068,684,3361,919,5573,952,6102,933,6943,1071,7256,1018,17987,1851,15181,1594,30779,2181,32005,2358,24981,1961,18754,1802,11812,1196,34359,1962
0500000US09003,09003,"Hartford County, Connecticut",218283,3766,179,157,794,362,1198,448,3987,861,8214,1335,11790,1470,13275,1518,11312,1148,10171,1466,21913,1952,25901,2024,48397,2862,30041,2215,15336,1973,6351,1006,3563,886,5861,1089
0500000US09005,09005,"Litchfield County, Connecticut",56055,2122,77,108,237,186,685,317,1591,493,1853,419,3395,710,3479,796,3500,781,2464,670,6029,955,5294,964,11958,1151,7558,1200,4017,1073,1918,641,455,242,1545,586
0500000US09007,09007,"Middlesex County, Connecticut",46933,1892,0,200,123,139,375,273,865,536,1352,549,2401,563,3107,704,2446,673,1663,545,4433,922,4644,1185,10120,1505,6655,954,4956,1073,2142,678,634,299,1017,454
0500000US09009,09009,"New Haven County, Connecticut",200536,4468,500,268,1028,462,1443,525,2678,674,4996,1024,8665,1563,12612,1716,10788,1598,9674,1449,18705,1874,25445,2465,41595,3070,28868,2742,15930,1625,6958,1330,4822,1106,5829,966
0500000US09011,09011,"New London County, Connecticut",69554,1872,331,318,373,221,1075,499,2494,637,4150,898,5918,929,3770,788,3135,719,3040,700,6972,1084,7169,1092,13592,1502,8298,1433,5355,1251,2120,765,706,408,1056,417
0500000US09013,09013,"Tolland County, Connecticut",39292,1667,54,75,37,67,281,219,556,258,1806,615,2532,543,1963,600,2243,760,3220,962,4392,941,4192,861,8075,1205,5741,1160,2510,733,1097,476,394,377,199,174
0500000US09015,09015,"Windham County, Connecticut",29571,1801,29,34,334,258,955,394,1915,592,1968,677,1818,489,1971,518,907,395,974,430,3044,750,3745,996,7144,1225,2809,781,903,486,486,266,81,97,488,292
0500000US10001,10001,"Kent County, Delaware",43176,2012,963,488,2690,695,4927,1055,3119,894,1892,618,1259,444,2555,765,1339,605,2766,1044,5561,1143,6236,1235,6756,1060,2043,793,578,332,318,194,174,174,0,193
0500000US10003,10003,"New Castle County, Delaware",136282,3362,1598,499,4977,969,10192,1288,9515,1508,6014,1010,7152,1300,5582,1234,4783,1024,5421,1128,16296,1833,16027,2182,25225,2016,13646,1378,5579,1080,2451,773,668,272,1156,389
0500000US10005,10005,"Sussex County, Delaware",65547,2308,2549,754,4578,1019,5596,930,6112,1098,4507,789,4099,1020,2786,725,2114,678,2152,603,8130,1083,6469,1100,7959,1120,5544,1163,1219,404,686,318,527,371,520,364
0500000US11001,11001,"District of Columbia, District of Columbia",110376,3494,1615,531,1981,595,3341,782,3919,862,2910,602,2734,663,3225,1040,2528,644,2628,880,6871,1176,9219,1406,15865,1444,12977,1713,11009,1247,10187,1359,6280,1222,13087,1696
0500000US12001,12001,"Alachua County, Florida",49704,2189,2224,716,2433,843,3747,752,4383,1059,4958,1292,3166,892,2393,751,2092,616,2796,870,4921,1003,4769,1093,6410,1375,2589,782,1311,665,688,405,216,175,608,372
0500000US12005,12005,"Bay County, Florida",45058,2422,2142,718,3314,730,3444,890,3779,824,3415,907,2120,607,2385,849,1964,763,2195,627,5589,1259,5465,1050,5672,1281,1745,443,1106,602,476,305,44,74,203,186
