GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than $200,Margin of Error; Total: - Less than $200,Estimate; Total: - $200 to $299,Margin of Error; Total: - $200 to $299,Estimate; Total: - $300 to $399,Margin of Error; Total: - $300 to $399,Estimate; Total: - $400 to $499,Margin of Error; Total: - $400 to $499,Estimate; Total: - $500 to $599,Margin of Error; Total: - $500 to $599,Estimate; Total: - $600 to $699,Margin of Error; Total: - $600 to $699,Estimate; Total: - $700 to $799,Margin of Error; Total: - $700 to $799,Estimate; Total: - $800 to $899,Margin of Error; Total: - $800 to $899,Estimate; Total: - $900 to $999,Margin of Error; Total: - $900 to $999,"Estimate; Total: - $1,000 to $1,249","Margin of Error; Total: - $1,000 to $1,249","Estimate; Total: - $1,250 to $1,499","Margin of Error; Total: - $1,250 to $1,499","Estimate; Total: - $1,500 to $1,999","Margin of Error; Total: - $1,500 to $1,999","Estimate; Total: - $2,000 to $2,499","Margin of Error; Total: - $2,000 to $2,499","Estimate; Total: - $2,500 to $2,999","Margin of Error; Total: - $2,500 to $2,999","Estimate; Total: - $3,000 to $3,499","Margin of Error; Total: - $3,000 to $3,499","Estimate; Total: - $3,500 to $3,999","Margin of Error; Total: - $3,500 to $3,999","Estimate; Total: - $4,000 or more","Margin of Error; Total: - $4,000 or more"
0500000US01003,01003,"Baldwin County, Alabama",56144,2831,3136,887,4919,955,5441,1395,4481,1034,3040,936,2751,889,2037,673,1827,675,2437,1052,5779,1302,7594,1681,7755,1483,1886,697,1201,554,1258,684,102,167,500,261
0500000US01015,01015,"Calhoun County, Alabama",29321,1746,1660,494,4310,833,4750,1054,2767,703,1572,502,1434,573,2168,776,1711,487,1217,538,3675,1019,1776,575,1527,624,407,246,310,230,37,62,0,195,0,195
0500000US01043,01043,"Cullman County, Alabama",23306,1387,835,347,3776,962,3157,878,1823,614,1428,451,1324,581,1386,530,1323,633,1129,428,2410,829,1963,648,1537,612,661,401,86,107,197,172,111,176,160,167
0500000US01049,01049,"DeKalb County, Alabama",18185,1270,1973,755,3417,814,2651,832,1530,558,1000,398,625,281,993,412,1604,634,1106,526,1357,512,1162,603,308,209,338,231,0,195,121,184,0,195,0,195
0500000US01051,01051,"Elmore County, Alabama",20862,1438,441,303,1983,648,1896,583,1548,594,1036,368,981,496,723,381,1465,558,1338,666,2663,851,2458,978,3008,778,1122,500,0,195,63,76,48,80,89,117
0500000US01055,01055,"Etowah County, Alabama",27766,1670,2028,693,3760,910,4421,829,1991,520,1354,568,1367,542,992,412,1937,593,1858,802,3340,878,2206,772,1310,605,478,328,338,258,164,249,73,129,149,163
0500000US01069,01069,"Houston County, Alabama",25239,834,1828,388,3215,443,3444,504,1915,350,1379,333,1475,396,1326,327,1365,245,1434,289,3218,421,2155,606,1512,304,656,230,82,49,121,133,41,34,73,50
0500000US01073,01073,"Jefferson County, Alabama",164444,4205,6052,1214,13982,1669,15122,1676,13841,1697,9138,1517,8634,1659,8560,1447,7268,1177,8139,1298,21966,2423,16889,1842,17242,1846,8190,1328,4547,929,1832,626,1426,573,1616,512
0500000US01077,01077,"Lauderdale County, Alabama",26444,1668,1077,462,3127,847,3536,931,2105,674,1340,499,1869,669,1842,624,1812,614,1470,628,3435,1036,2229,725,1774,510,534,215,0,195,136,127,43,73,115,149
0500000US01081,01081,"Lee County, Alabama",34720,2259,1641,843,3247,1030,4056,988,2267,847,2189,825,1906,702,1722,663,1383,506,1357,584,4983,1372,3583,1127,3232,873,2076,692,571,303,326,234,0,195,181,148
0500000US01083,01083,"Limestone County, Alabama",23032,1402,1402,601,2436,727,2986,776,1345,523,810,476,1485,660,1571,536,1002,354,1147,553,2818,750,1395,571,2810,956,975,446,374,293,277,277,199,269,0,195
0500000US01089,01089,"Madison County, Alabama",97908,3145,3740,1105,7854,1236,8543,1269,5359,1288,5038,1066,4590,990,6173,1427,6135,1235,4129,957,13491,2120,9668,1718,11715,1686,7626,1516,1229,564,730,459,552,294,1336,564
0500000US01095,01095,"Marshall County, Alabama",23374,1560,2197,642,3770,747,2838,551,2096,633,1112,408,967,343,2025,931,1049,453,1203,495,1527,396,1800,618,1799,595,373,250,459,338,44,57,27,39,88,139
