GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With Social Security income,Margin of Error; Total: - With Social Security income,Estimate; Total: - No Social Security income,Margin of Error; Total: - No Social Security income
0500000US01003,01003,"Baldwin County, Alabama",76779,3010,30574,1906,46205,3447
0500000US01015,01015,"Calhoun County, Alabama",43972,1687,17828,1258,26144,1721
0500000US01043,01043,"Cullman County, Alabama",30299,1234,12288,1208,18011,1389
0500000US01049,01049,"DeKalb County, Alabama",25383,1190,10027,896,15356,1232
0500000US01051,01051,"Elmore County, Alabama",29350,1102,9570,923,19780,1282
0500000US01055,01055,"Etowah County, Alabama",38766,1489,16667,1311,22099,1622
0500000US01069,01069,"Houston County, Alabama",39167,959,14175,568,24992,861
0500000US01073,01073,"Jefferson County, Alabama",261904,4316,84462,2814,177442,4341
0500000US01077,01077,"Lauderdale County, Alabama",37875,1391,14756,1000,23119,1552
0500000US01081,01081,"Lee County, Alabama",59354,1783,16597,1925,42757,2569
0500000US01083,01083,"Limestone County, Alabama",31880,1214,9845,1186,22035,1499
0500000US01089,01089,"Madison County, Alabama",143669,2833,39810,1751,103859,2925
0500000US01095,01095,"Marshall County, Alabama",34726,1047,14578,1377,20148,1484
0500000US01097,01097,"Mobile County, Alabama",157141,2741,56091,2297,101050,3249
0500000US01101,01101,"Montgomery County, Alabama",90827,1963,29298,1606,61529,2402
0500000US01103,01103,"Morgan County, Alabama",44816,1847,15671,1210,29145,1947
0500000US01115,01115,"St. Clair County, Alabama",31615,1367,11310,998,20305,1431
0500000US01117,01117,"Shelby County, Alabama",76059,1692,24215,1529,51844,1759
0500000US01121,01121,"Talladega County, Alabama",31517,1635,12576,1077,18941,1916
0500000US01125,01125,"Tuscaloosa County, Alabama",73825,2003,21911,1463,51914,2415
0500000US01127,01127,"Walker County, Alabama",23863,1316,11061,963,12802,1331
0500000US02020,02020,"Anchorage Municipality, Alaska",105249,1864,21133,1400,84116,2305
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",33770,1901,5603,962,28167,2143
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",30305,769,7450,679,22855,870
0500000US04001,04001,"Apache County, Arizona",20018,884,7097,699,12921,743
0500000US04003,04003,"Cochise County, Arizona",50147,2119,21761,1215,28386,1985
0500000US04005,04005,"Coconino County, Arizona",47408,1957,12368,905,35040,1860
0500000US04013,04013,"Maricopa County, Arizona",1521131,9246,437655,5062,1083476,9566
0500000US04015,04015,"Mohave County, Arizona",84876,2775,47847,2285,37029,2568
0500000US04017,04017,"Navajo County, Arizona",33587,1656,14482,967,19105,1555
0500000US04019,04019,"Pima County, Arizona",400835,4105,148135,3004,252700,4521
