GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median contract rent,Margin of Error; Median contract rent
0500000US10001,10001,"Kent County, Delaware",809,51
0500000US10003,10003,"New Castle County, Delaware",941,21
0500000US10005,10005,"Sussex County, Delaware",728,45
0500000US11001,11001,"District of Columbia, District of Columbia",1290,39
0500000US12001,12001,"Alachua County, Florida",756,32
0500000US12005,12005,"Bay County, Florida",779,44
0500000US12009,12009,"Brevard County, Florida",826,30
0500000US12011,12011,"Broward County, Florida",1168,18
0500000US12015,12015,"Charlotte County, Florida",837,35
0500000US12017,12017,"Citrus County, Florida",659,68
0500000US12019,12019,"Clay County, Florida",870,52
0500000US12021,12021,"Collier County, Florida",1128,51
0500000US12023,12023,"Columbia County, Florida",637,96
0500000US12031,12031,"Duval County, Florida",833,14
0500000US12033,12033,"Escambia County, Florida",720,29
0500000US12035,12035,"Flagler County, Florida",993,62
0500000US12053,12053,"Hernando County, Florida",762,37
0500000US12055,12055,"Highlands County, Florida",604,40
0500000US12057,12057,"Hillsborough County, Florida",931,15
0500000US12061,12061,"Indian River County, Florida",782,42
0500000US12069,12069,"Lake County, Florida",819,41
0500000US12071,12071,"Lee County, Florida",910,24
0500000US12073,12073,"Leon County, Florida",787,27
0500000US12081,12081,"Manatee County, Florida",902,37
0500000US12083,12083,"Marion County, Florida",682,33
0500000US12085,12085,"Martin County, Florida",887,59
0500000US12086,12086,"Miami-Dade County, Florida",1076,17
0500000US12087,12087,"Monroe County, Florida",1470,114
0500000US12089,12089,"Nassau County, Florida",918,172
0500000US12091,12091,"Okaloosa County, Florida",844,44
0500000US12095,12095,"Orange County, Florida",953,13
0500000US12097,12097,"Osceola County, Florida",927,23
0500000US12099,12099,"Palm Beach County, Florida",1154,22
0500000US12101,12101,"Pasco County, Florida",816,33
0500000US12103,12103,"Pinellas County, Florida",850,12
0500000US12105,12105,"Polk County, Florida",719,15
