GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
0500000US01003,01003,"Baldwin County, Alabama",146987,1626,2026,1105,0,195,89,149,0,195,0,195,120,157,162,284,80,135,768,818,216,245,861,654,1861,959,3062,1421,3178,1087,2405,785,35760,3879,6062,1338,10559,1871,20651,2813,15580,2258,25524,3668,12717,1991,3720,1233,1586,1072
0500000US01015,01015,"Calhoun County, Alabama",78218,687,1319,758,0,195,0,195,0,195,0,195,37,64,164,159,503,418,432,235,1189,597,1426,520,1940,802,3829,932,1663,568,1421,664,19896,2050,4865,1052,5308,1418,15864,2480,5453,1389,7295,1451,4306,1001,900,457,408,217
0500000US01043,01043,"Cullman County, Alabama",57469,569,1396,807,0,195,0,195,0,195,32,52,185,182,29,45,19,41,1612,699,550,444,767,485,965,597,2346,1056,2747,1100,2340,1052,14343,1788,4138,1054,3960,1034,6575,1227,5733,1387,6575,1257,2595,698,453,288,109,163
0500000US01049,01049,"DeKalb County, Alabama",48227,817,1556,778,0,195,0,195,0,195,176,307,24,42,208,292,119,93,525,332,436,321,1940,842,2351,977,2747,923,1486,664,772,374,11198,1285,4127,1240,4676,1188,5972,1283,4671,971,3259,1106,1591,648,244,206,149,137
0500000US01051,01051,"Elmore County, Alabama",56224,970,258,206,0,195,0,195,0,195,0,195,37,79,69,120,0,195,471,363,620,384,775,539,1525,694,1461,726,1239,442,990,526,12734,1661,4282,970,3756,905,8249,1451,5113,1366,8896,1457,4336,1245,820,363,593,455
0500000US01055,01055,"Etowah County, Alabama",71104,815,1413,621,0,195,31,54,0,195,0,195,398,345,322,253,414,426,302,259,145,136,1437,1078,2384,768,2735,840,1889,636,1677,655,19348,1975,5383,1302,3988,1087,12710,2120,5453,1060,6883,1504,3283,753,620,364,289,239
0500000US01069,01069,"Houston County, Alabama",71469,231,939,327,0,195,0,195,0,195,14,25,62,59,81,93,269,156,333,133,803,338,743,276,1978,514,2370,427,2380,474,1428,326,17324,1065,4177,670,4804,704,12488,1159,6759,664,9392,843,3734,640,940,238,451,141
0500000US01073,01073,"Jefferson County, Alabama",449112,597,3654,997,0,195,75,121,60,110,103,144,602,385,571,300,454,324,1904,847,1055,420,4280,1141,6156,1348,9271,1706,10611,1799,9008,1716,101343,5311,16580,1874,22721,2454,74545,4746,38288,3313,89977,4673,35518,2945,14228,1927,8108,1411
0500000US01077,01077,"Lauderdale County, Alabama",63320,989,1136,588,0,195,0,195,0,195,177,267,0,195,0,195,29,49,336,266,1087,697,1210,594,952,539,1693,669,1251,489,945,518,18735,1708,4177,1209,3187,802,10075,1716,4515,1245,9044,1400,3698,1137,580,373,493,274
0500000US01081,01081,"Lee County, Alabama",94996,1234,2012,906,0,195,0,195,0,195,0,195,0,195,137,180,78,126,456,437,1003,693,382,387,2345,1116,1420,660,2183,1001,1545,804,15745,2326,5269,1591,5887,1486,15085,2581,7544,1460,18716,2556,10336,1636,1487,749,3366,933
0500000US01083,01083,"Limestone County, Alabama",63911,920,787,558,0,195,0,195,0,195,45,74,96,159,0,195,762,584,371,313,886,977,916,552,2676,1179,3226,1133,1866,924,606,486,13782,1896,5540,1495,4260,1128,9392,2005,4472,1235,9285,1565,4165,947,379,307,399,409
0500000US01089,01089,"Madison County, Alabama",243888,960,2791,1050,76,128,153,177,63,101,410,421,339,271,152,167,409,373,1436,736,708,428,3084,1153,3864,1398,4344,1173,3087,942,2785,933,42599,3102,12491,1966,14518,2343,34229,3037,17414,2197,57955,3804,32261,2474,4204,1206,4516,1000
0500000US01095,01095,"Marshall County, Alabama",64390,607,2269,1190,80,135,0,195,0,195,15,32,206,225,66,83,77,123,571,526,353,246,522,276,1451,692,2339,733,2532,952,731,373,17551,1839,3928,1012,6111,1198,9875,1690,5182,1197,7053,1277,2663,689,518,274,297,215
0500000US01097,01097,"Mobile County, Alabama",278541,708,3369,875,0,195,0,195,0,195,177,244,27,46,0,195,321,250,531,312,1116,692,2316,655,4898,1290,9906,2174,11190,2035,3563,988,75776,4010,13765,2006,14750,1844,45562,3687,25355,2659,44082,3169,16932,2043,3312,805,1593,493
0500000US01101,01101,"Montgomery County, Alabama",151057,371,2258,624,147,172,0,195,32,55,68,113,183,190,127,150,323,275,820,372,789,477,1533,635,3695,1066,4682,1217,4163,1057,3134,784,29742,2675,6897,1378,7840,1293,27351,2880,9218,1497,28613,2320,14454,1630,3203,774,1785,616
0500000US01103,01103,"Morgan County, Alabama",82212,971,1406,693,0,195,0,195,0,195,120,209,47,65,275,281,393,364,997,619,2334,1338,1375,879,2671,956,3156,1165,1914,803,1292,563,18037,2260,6431,1216,6694,1038,11425,1892,7426,1643,10892,1586,4643,1091,478,299,206,201
0500000US01115,01115,"St. Clair County, Alabama",61405,635,709,447,0,195,0,195,0,195,0,195,0,195,45,77,297,326,301,237,503,537,1221,568,1289,793,2537,843,1775,875,2255,887,18141,2286,4008,1052,3643,908,9269,1837,4747,1304,7463,1191,2609,691,287,313,306,308
0500000US01117,01117,"Shelby County, Alabama",143840,895,642,429,0,195,0,195,0,195,141,230,209,298,260,389,138,131,319,301,435,350,1563,976,2002,865,2195,814,2128,744,1560,642,24010,2360,3914,1018,9833,1544,23356,2464,10706,1712,39842,3222,15533,1844,2942,721,2112,777
0500000US01121,01121,"Talladega County, Alabama",56133,1126,916,441,0,195,0,195,11,18,50,69,177,218,72,84,46,75,212,205,224,202,1149,620,1887,750,1863,746,2461,968,1361,658,13906,2126,4315,1091,4906,1017,9501,1698,4674,1186,5498,1179,2635,953,150,136,119,151
0500000US01125,01125,"Tuscaloosa County, Alabama",127997,465,1444,697,36,65,195,310,0,195,25,47,30,51,114,194,406,318,263,288,428,300,595,414,2801,1310,1850,756,3289,1169,2501,805,30860,2778,4960,1231,7209,1510,22640,2757,9885,1825,21927,3172,11282,1797,2446,729,2811,855
0500000US01127,01127,"Walker County, Alabama",45447,408,906,353,0,195,0,195,59,103,78,130,0,195,138,230,144,134,639,419,406,294,1473,544,685,339,2053,812,2485,924,510,270,14093,1727,3339,1083,2713,833,6405,1215,4305,953,3027,1120,1523,542,402,326,64,78
0500000US02020,02020,"Anchorage Municipality, Alaska",193529,928,1111,505,135,226,0,155,0,155,0,155,48,63,242,258,178,281,520,313,185,251,1235,602,1204,534,2068,817,2527,770,2397,829,36433,3242,8371,1498,13482,1881,35724,2909,16956,2061,45056,2777,17143,1987,5592,1243,2922,993
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",61109,1410,314,464,0,155,93,177,0,155,0,155,16,31,457,454,0,155,44,73,29,57,77,99,99,136,328,197,644,435,456,339,10162,1597,4563,1609,5012,1521,13623,2857,5935,1625,13313,1980,4224,932,595,420,1125,595
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",66199,549,201,157,45,74,0,155,0,155,0,155,0,155,24,41,67,117,0,155,134,169,589,490,365,225,771,388,574,298,1045,486,16710,1711,4361,774,6337,1056,15080,1543,7055,1041,8379,995,3205,754,871,500,386,232
0500000US04001,04001,"Apache County, Arizona",45180,449,1803,439,0,204,0,204,32,53,153,147,101,80,78,106,627,225,444,288,144,82,692,262,633,176,1561,472,1474,461,562,353,12896,1295,1175,399,1659,465,12468,1341,3415,868,3115,808,1574,462,372,325,202,167
0500000US04003,04003,"Cochise County, Arizona",87838,616,1041,431,0,204,81,134,0,204,102,78,295,281,215,212,394,289,1672,642,377,236,1189,429,1022,471,1339,563,2615,1033,1401,623,18087,2211,4810,1172,6554,1275,16376,1938,8928,1313,13579,1768,5881,1014,1107,570,773,322
0500000US04005,04005,"Coconino County, Arizona",81866,728,964,326,0,204,0,204,18,23,15,27,86,68,196,160,290,170,327,265,450,497,669,337,1128,488,1668,573,2008,680,737,346,16121,2146,1953,646,5011,1024,15100,2262,6152,1439,16781,2087,8483,1251,2001,652,1708,528
0500000US04013,04013,"Maricopa County, Arizona",2806841,409,49782,4231,359,264,763,410,4138,1464,3335,1214,7848,1587,6317,1833,7175,1565,43349,4259,8218,1831,33335,3697,39381,4109,45620,3854,52674,4421,56301,3696,534795,12567,95066,4777,201895,7137,487292,9934,232840,7161,573679,11381,233229,7128,56265,3768,33185,2678
0500000US04015,04015,"Mohave County, Arizona",155272,1347,990,580,0,204,81,136,254,415,91,144,535,549,75,115,273,343,778,548,254,271,1750,714,2707,868,4861,1243,5830,1542,5239,1180,44018,3411,9398,1509,15338,2212,31620,2793,13657,2065,11347,1740,4950,983,805,398,421,287
0500000US04017,04017,"Navajo County, Arizona",70759,785,1327,480,0,204,22,37,126,121,125,142,356,188,73,53,381,196,528,432,521,279,1888,733,1415,396,2806,718,2773,841,1122,422,17315,1558,3766,901,4070,960,16180,1862,5792,1102,6096,978,3265,898,557,326,255,197
0500000US04019,04019,"Pima County, Arizona",676920,583,7972,1380,222,307,0,204,439,243,619,485,1427,613,849,357,1607,703,8406,1506,1919,758,9159,1827,11601,1904,11548,2055,13306,1889,12229,1618,122770,5723,26921,2563,48951,3375,123025,5561,58322,3614,121916,5226,62850,3848,16484,2168,14378,1658
0500000US04021,04021,"Pinal County, Arizona",287719,1030,3946,1252,205,340,0,204,13,23,369,292,537,626,869,606,136,171,2885,1186,1187,542,5388,1332,5497,1238,8482,1752,6419,1669,5854,1282,62917,4210,17819,2325,27389,2745,50950,4150,28622,2591,37750,2966,15792,2354,2542,937,2151,917
