GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
0500000US06001,06001,"Alameda County, California",1337443,1805,890169,7480,888504,7500,848374,7584,40130,3425,1665,523,447274,7540
0500000US06007,06007,"Butte County, California",186137,776,101879,3274,101798,3304,93016,3723,8782,1592,81,104,84258,3294
0500000US06013,06013,"Contra Costa County, California",904160,1649,585162,6176,584190,6154,549609,6747,34581,3040,972,556,318998,6165
0500000US06017,06017,"El Dorado County, California",152824,685,86492,3477,86288,3488,80713,3616,5575,1268,204,316,66332,3528
0500000US06019,06019,"Fresno County, California",728964,1480,434861,6344,433716,6411,392402,6871,41314,3783,1145,675,294103,6619
0500000US06023,06023,"Humboldt County, California",113042,533,67789,2501,67787,2500,61866,2756,5921,1620,2,4,45253,2592
0500000US06025,06025,"Imperial County, California",135469,755,71234,3213,70798,3205,61106,3301,9692,1961,436,380,64235,3308
0500000US06029,06029,"Kern County, California",652088,2400,382964,6266,381538,6282,337906,7376,43632,4192,1426,455,269124,6647
0500000US06031,06031,"Kings County, California",112908,685,65544,2071,60886,2518,56775,2555,4111,947,4658,1336,47364,2195
0500000US06033,06033,"Lake County, California",52051,626,24069,2064,24069,2064,21480,2031,2589,878,0,206,27982,2196
0500000US06037,06037,"Los Angeles County, California",8151797,5099,5236123,20651,5232375,20602,4886964,21897,345411,9139,3748,1054,2915674,21438
0500000US06039,06039,"Madera County, California",116661,719,63490,2594,63490,2594,56491,2908,6999,1683,0,206,53171,2796
0500000US06041,06041,"Marin County, California",212857,901,137042,3203,136947,3211,131149,3351,5798,1406,95,155,75815,3425
0500000US06045,06045,"Mendocino County, California",70701,461,41544,1905,41510,1893,37215,1822,4295,1210,34,58,29157,1890
0500000US06047,06047,"Merced County, California",196595,987,117068,2823,116831,2865,99982,3462,16849,2583,237,201,79527,3076
0500000US06053,06053,"Monterey County, California",332496,1062,203786,4329,198386,4381,189330,4355,9056,1555,5400,1188,128710,4496
0500000US06055,06055,"Napa County, California",116212,637,77603,1855,77603,1855,73805,2396,3798,1136,0,206,38609,1872
0500000US06057,06057,"Nevada County, California",83912,743,43641,2690,43503,2701,41330,2836,2173,839,138,164,40271,2602
0500000US06059,06059,"Orange County, California",2549573,2448,1671672,10655,1670535,10668,1586454,10838,84081,4739,1137,572,877901,11147
0500000US06061,06061,"Placer County, California",305585,909,184858,4029,183693,4038,174807,4198,8886,1726,1165,575,120727,4107
0500000US06065,06065,"Riverside County, California",1845898,2685,1097798,10285,1093958,10489,1003536,10850,90422,5174,3840,1103,748100,10531
0500000US06067,06067,"Sacramento County, California",1192611,1797,738505,7474,737697,7491,688935,7869,48762,3773,808,314,454106,7766
0500000US06071,06071,"San Bernardino County, California",1633443,2299,981743,10462,971706,10407,888554,10707,83152,4899,10037,1771,651700,10781
0500000US06073,06073,"San Diego County, California",2668897,2590,1747695,12946,1678100,13128,1573399,12869,104701,6806,69595,4615,921202,12694
0500000US06075,06075,"San Francisco County, California",763084,1138,535903,5584,535701,5632,511365,5641,24336,2807,202,259,227181,5543
0500000US06077,06077,"San Joaquin County, California",555510,1448,335515,5257,335025,5288,305708,5753,29317,3550,490,284,219995,5288
0500000US06079,06079,"San Luis Obispo County, California",237630,986,143136,3570,141387,4156,136011,4170,5376,1309,1749,2246,94494,3433
0500000US06081,06081,"San Mateo County, California",619899,1289,428635,5331,428535,5333,414293,5639,14242,1960,100,119,191264,5243
0500000US06083,06083,"Santa Barbara County, California",356545,1056,230628,4635,228807,4682,215514,5422,13293,2252,1821,696,125917,4664
0500000US06085,06085,"Santa Clara County, California",1533442,1957,1028347,8615,1028000,8588,979335,9061,48665,3561,347,236,505095,8786
0500000US06087,06087,"Santa Cruz County, California",226906,1135,144910,3573,144442,3478,135997,3699,8445,1721,468,709,81996,3699
0500000US06089,06089,"Shasta County, California",145619,699,77556,2514,77507,2517,72804,2812,4703,1078,49,83,68063,2499
0500000US06095,06095,"Solano County, California",352761,942,223546,4510,219443,4578,204873,4566,14570,2342,4103,1112,129215,4518
0500000US06097,06097,"Sonoma County, California",413205,1223,268503,5008,266837,5029,254696,5131,12141,1994,1666,1056,144702,5294
0500000US06099,06099,"Stanislaus County, California",410340,1458,251509,4361,251406,4373,225288,5277,26118,3481,103,122,158831,4549
0500000US06101,06101,"Sutter County, California",74508,520,43550,1958,43219,1983,39475,1997,3744,849,331,302,30958,1984
0500000US06107,06107,"Tulare County, California",333486,1179,190051,4257,189956,4246,173417,4580,16539,2374,95,118,143435,4649
0500000US06111,06111,"Ventura County, California",673962,1255,443035,5410,439724,5392,417865,5432,21859,2652,3311,809,230927,5424
0500000US06113,06113,"Yolo County, California",174405,907,101600,2997,101493,3025,95244,3327,6249,1525,107,127,72805,3230
0500000US06115,06115,"Yuba County, California",55580,772,33251,1985,31434,1957,28688,2061,2746,836,1817,675,22329,2194
0500000US08001,08001,"Adams County, Colorado",375308,1417,266785,4105,266308,4046,256129,4547,10179,1808,477,367,108523,4447
0500000US08005,08005,"Arapahoe County, Colorado",501381,1045,356472,5702,354414,5517,340940,5520,13474,2045,2058,766,144909,5599
