GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US01003,01003,"Baldwin County, Alabama",110607,500
0500000US01015,01015,"Calhoun County, Alabama",53337,475
0500000US01043,01043,"Cullman County, Alabama",37265,309
0500000US01049,01049,"DeKalb County, Alabama",31060,230
0500000US01051,01051,"Elmore County, Alabama",33751,411
0500000US01055,01055,"Etowah County, Alabama",47541,225
0500000US01069,01069,"Houston County, Alabama",46883,219
0500000US01073,01073,"Jefferson County, Alabama",308553,997
0500000US01077,01077,"Lauderdale County, Alabama",44577,420
0500000US01081,01081,"Lee County, Alabama",67173,391
0500000US01083,01083,"Limestone County, Alabama",35769,336
0500000US01089,01089,"Madison County, Alabama",159087,756
0500000US01095,01095,"Marshall County, Alabama",40344,142
0500000US01097,01097,"Mobile County, Alabama",182640,839
0500000US01101,01101,"Montgomery County, Alabama",104618,908
0500000US01103,01103,"Morgan County, Alabama",51677,503
0500000US01115,01115,"St. Clair County, Alabama",36014,323
0500000US01117,01117,"Shelby County, Alabama",85377,417
0500000US01121,01121,"Talladega County, Alabama",37203,659
0500000US01125,01125,"Tuscaloosa County, Alabama",89748,723
0500000US01127,01127,"Walker County, Alabama",30664,212
0500000US02020,02020,"Anchorage Municipality, Alaska",115539,387
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",41565,342
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",41491,211
0500000US04001,04001,"Apache County, Arizona",32798,107
0500000US04003,04003,"Cochise County, Arizona",60871,808
0500000US04005,04005,"Coconino County, Arizona",65278,810
0500000US04013,04013,"Maricopa County, Arizona",1711390,1247
0500000US04015,04015,"Mohave County, Arizona",113817,822
0500000US04017,04017,"Navajo County, Arizona",57813,212
0500000US04019,04019,"Pima County, Arizona",456576,1219
0500000US04021,04021,"Pinal County, Arizona",170708,979
0500000US04025,04025,"Yavapai County, Arizona",114797,698
0500000US04027,04027,"Yuma County, Arizona",91314,501
0500000US05007,05007,"Benton County, Arkansas",102133,310
0500000US05031,05031,"Craighead County, Arkansas",44394,452
0500000US05045,05045,"Faulkner County, Arkansas",49328,455
0500000US05051,05051,"Garland County, Arkansas",50573,370
0500000US05069,05069,"Jefferson County, Arkansas",33240,828
0500000US05085,05085,"Lonoke County, Arkansas",29163,129
0500000US05119,05119,"Pulaski County, Arkansas",183282,563
0500000US05125,05125,"Saline County, Arkansas",47867,320
0500000US05131,05131,"Sebastian County, Arkansas",56552,499
0500000US05143,05143,"Washington County, Arkansas",92027,643
0500000US05145,05145,"White County, Arkansas",33354,307
0500000US06001,06001,"Alameda County, California",599780,1020
0500000US06007,06007,"Butte County, California",98439,739
0500000US06013,06013,"Contra Costa County, California",410814,419
0500000US06017,06017,"El Dorado County, California",89468,252
0500000US06019,06019,"Fresno County, California",327812,497
0500000US06023,06023,"Humboldt County, California",62645,478
0500000US06025,06025,"Imperial County, California",57386,277
0500000US06029,06029,"Kern County, California",295240,678
0500000US06031,06031,"Kings County, California",45763,501
0500000US06033,06033,"Lake County, California",35664,223
0500000US06037,06037,"Los Angeles County, California",3520811,2122
0500000US06039,06039,"Madera County, California",50205,340
0500000US06041,06041,"Marin County, California",112885,463
0500000US06045,06045,"Mendocino County, California",40842,234
0500000US06047,06047,"Merced County, California",84432,449
0500000US06053,06053,"Monterey County, California",140819,568
0500000US06055,06055,"Napa County, California",55535,352
0500000US06057,06057,"Nevada County, California",53538,325
0500000US06059,06059,"Orange County, California",1090121,993
0500000US06061,06061,"Placer County, California",161422,299
0500000US06065,06065,"Riverside County, California",831404,996
0500000US06067,06067,"Sacramento County, California",565813,1049
0500000US06071,06071,"San Bernardino County, California",714364,1597
0500000US06073,06073,"San Diego County, California",1202397,1966
0500000US06075,06075,"San Francisco County, California",392823,1425
0500000US06077,06077,"San Joaquin County, California",240618,668
0500000US06079,06079,"San Luis Obispo County, California",120866,1018
0500000US06081,06081,"San Mateo County, California",275947,479
0500000US06083,06083,"Santa Barbara County, California",155962,633
0500000US06085,06085,"Santa Clara County, California",665098,824
0500000US06087,06087,"Santa Cruz County, California",105635,640
0500000US06089,06089,"Shasta County, California",78303,455
0500000US06095,06095,"Solano County, California",156826,474
0500000US06097,06097,"Sonoma County, California",208153,522
0500000US06099,06099,"Stanislaus County, California",180822,352
0500000US06101,06101,"Sutter County, California",34294,172
0500000US06107,06107,"Tulare County, California",147537,236
0500000US06111,06111,"Ventura County, California",286905,644
0500000US06113,06113,"Yolo County, California",77166,481
0500000US06115,06115,"Yuba County, California",28360,284
0500000US08001,08001,"Adams County, Colorado",168792,433
0500000US08005,08005,"Arapahoe County, Colorado",246715,1144
0500000US08013,08013,"Boulder County, Colorado",133775,776
0500000US08014,08014,"Broomfield County, Colorado",27090,157
0500000US08031,08031,"Denver County, Colorado",311480,1000
0500000US08035,08035,"Douglas County, Colorado",124753,314
0500000US08041,08041,"El Paso County, Colorado",272537,755
0500000US08059,08059,"Jefferson County, Colorado",237205,817
0500000US08069,08069,"Larimer County, Colorado",143273,839
0500000US08077,08077,"Mesa County, Colorado",65247,378
0500000US08101,08101,"Pueblo County, Colorado",70286,441
0500000US08123,08123,"Weld County, Colorado",105461,564
0500000US09001,09001,"Fairfield County, Connecticut",368010,814
0500000US09003,09003,"Hartford County, Connecticut",375137,991
0500000US09005,09005,"Litchfield County, Connecticut",87337,266
0500000US09007,09007,"Middlesex County, Connecticut",75536,464
0500000US09009,09009,"New Haven County, Connecticut",363122,868
0500000US09011,09011,"New London County, Connecticut",121911,470
0500000US09013,09013,"Tolland County, Connecticut",58920,715
0500000US09015,09015,"Windham County, Connecticut",49172,519
0500000US10001,10001,"Kent County, Delaware",69742,366
0500000US10003,10003,"New Castle County, Delaware",222991,401
0500000US10005,10005,"Sussex County, Delaware",133421,226
0500000US11001,11001,"District of Columbia, District of Columbia",313703,112
0500000US12001,12001,"Alachua County, Florida",115533,1387
0500000US12005,12005,"Bay County, Florida",101368,276
0500000US12009,12009,"Brevard County, Florida",274559,411
0500000US12011,12011,"Broward County, Florida",822980,871
0500000US12015,12015,"Charlotte County, Florida",102717,454
0500000US12017,12017,"Citrus County, Florida",77904,661
0500000US12019,12019,"Clay County, Florida",78994,280
0500000US12021,12021,"Collier County, Florida",210147,508
0500000US12023,12023,"Columbia County, Florida",28251,418
0500000US12031,12031,"Duval County, Florida",402358,1170
0500000US12033,12033,"Escambia County, Florida",140176,934
0500000US12035,12035,"Flagler County, Florida",50574,145
0500000US12053,12053,"Hernando County, Florida",85066,585
0500000US12055,12055,"Highlands County, Florida",54842,406
0500000US12057,12057,"Hillsborough County, Florida",568828,725
0500000US12061,12061,"Indian River County, Florida",78629,191
0500000US12069,12069,"Lake County, Florida",151045,444
0500000US12071,12071,"Lee County, Florida",385106,705
0500000US12073,12073,"Leon County, Florida",128084,1123
0500000US12081,12081,"Manatee County, Florida",185263,435
0500000US12083,12083,"Marion County, Florida",164414,622
0500000US12085,12085,"Martin County, Florida",79520,559
0500000US12086,12086,"Miami-Dade County, Florida",1021650,1425
0500000US12087,12087,"Monroe County, Florida",53129,438
0500000US12089,12089,"Nassau County, Florida",37463,317
0500000US12091,12091,"Okaloosa County, Florida",96052,398
0500000US12095,12095,"Orange County, Florida",525260,1190
0500000US12097,12097,"Osceola County, Florida",143516,186
0500000US12099,12099,"Palm Beach County, Florida",683543,1461
0500000US12101,12101,"Pasco County, Florida",236491,472
0500000US12103,12103,"Pinellas County, Florida",507472,960
0500000US12105,12105,"Polk County, Florida",286488,440
0500000US12107,12107,"Putnam County, Florida",36392,251
0500000US12109,12109,"St. Johns County, Florida",102292,338
0500000US12111,12111,"St. Lucie County, Florida",139046,373
0500000US12113,12113,"Santa Rosa County, Florida",69670,570
0500000US12115,12115,"Sarasota County, Florida",235707,529
0500000US12117,12117,"Seminole County, Florida",187736,309
0500000US12119,12119,"Sumter County, Florida",68201,616
0500000US12127,12127,"Volusia County, Florida",257939,512
0500000US12131,12131,"Walton County, Florida",49956,248
0500000US13013,13013,"Barrow County, Georgia",27598,100
0500000US13015,13015,"Bartow County, Georgia",40209,401
0500000US13021,13021,"Bibb County, Georgia",70270,489
0500000US13031,13031,"Bulloch County, Georgia",30402,954
0500000US13045,13045,"Carroll County, Georgia",44785,396
0500000US13047,13047,"Catoosa County, Georgia",27065,193
0500000US13051,13051,"Chatham County, Georgia",124407,758
0500000US13057,13057,"Cherokee County, Georgia",89343,445
0500000US13059,13059,"Clarke County, Georgia",52765,627
0500000US13063,13063,"Clayton County, Georgia",105005,667
0500000US13067,13067,"Cobb County, Georgia",297397,577
0500000US13073,13073,"Columbia County, Georgia",55897,110
0500000US13077,13077,"Coweta County, Georgia",53556,244
0500000US13089,13089,"DeKalb County, Georgia",310209,728
0500000US13095,13095,"Dougherty County, Georgia",40715,692
0500000US13097,13097,"Douglas County, Georgia",52194,250
0500000US13113,13113,"Fayette County, Georgia",42115,100
0500000US13115,13115,"Floyd County, Georgia",40416,563
0500000US13117,13117,"Forsyth County, Georgia",77451,173
0500000US13121,13121,"Fulton County, Georgia",464517,1153
0500000US13127,13127,"Glynn County, Georgia",42429,433
0500000US13135,13135,"Gwinnett County, Georgia",305452,352
0500000US13139,13139,"Hall County, Georgia",70956,124
0500000US13151,13151,"Henry County, Georgia",79628,178
0500000US13153,13153,"Houston County, Georgia",61896,291
0500000US13179,13179,"Liberty County, Georgia",27578,169
0500000US13185,13185,"Lowndes County, Georgia",46389,277
0500000US13215,13215,"Muscogee County, Georgia",84741,584
0500000US13217,13217,"Newton County, Georgia",38668,325
