GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With public assistance income,Margin of Error; Total: - With public assistance income,Estimate; Total: - No public assistance income,Margin of Error; Total: - No public assistance income
0500000US01003,01003,"Baldwin County, Alabama",76779,3010,471,268,76308,3033
0500000US01015,01015,"Calhoun County, Alabama",43972,1687,742,339,43230,1732
0500000US01043,01043,"Cullman County, Alabama",30299,1234,448,312,29851,1275
0500000US01049,01049,"DeKalb County, Alabama",25383,1190,521,349,24862,1248
0500000US01051,01051,"Elmore County, Alabama",29350,1102,486,289,28864,1145
0500000US01055,01055,"Etowah County, Alabama",38766,1489,261,270,38505,1477
0500000US01069,01069,"Houston County, Alabama",39167,959,454,172,38713,965
0500000US01073,01073,"Jefferson County, Alabama",261904,4316,4519,1180,257385,4385
0500000US01077,01077,"Lauderdale County, Alabama",37875,1391,471,300,37404,1431
0500000US01081,01081,"Lee County, Alabama",59354,1783,791,572,58563,1844
0500000US01083,01083,"Limestone County, Alabama",31880,1214,678,501,31202,1238
0500000US01089,01089,"Madison County, Alabama",143669,2833,3632,899,140037,2912
0500000US01095,01095,"Marshall County, Alabama",34726,1047,593,264,34133,1015
0500000US01097,01097,"Mobile County, Alabama",157141,2741,1840,532,155301,2849
0500000US01101,01101,"Montgomery County, Alabama",90827,1963,1231,544,89596,1954
0500000US01103,01103,"Morgan County, Alabama",44816,1847,895,574,43921,1909
0500000US01115,01115,"St. Clair County, Alabama",31615,1367,309,320,31306,1442
0500000US01117,01117,"Shelby County, Alabama",76059,1692,800,453,75259,1733
0500000US01121,01121,"Talladega County, Alabama",31517,1635,443,451,31074,1654
0500000US01125,01125,"Tuscaloosa County, Alabama",73825,2003,3027,911,70798,2330
0500000US01127,01127,"Walker County, Alabama",23863,1316,441,290,23422,1393
0500000US02020,02020,"Anchorage Municipality, Alaska",105249,1864,6021,1220,99228,1881
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",33770,1901,904,424,32866,1995
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",30305,769,1728,456,28577,849
0500000US04001,04001,"Apache County, Arizona",20018,884,1144,302,18874,914
0500000US04003,04003,"Cochise County, Arizona",50147,2119,1388,489,48759,2163
0500000US04005,04005,"Coconino County, Arizona",47408,1957,1127,644,46281,2026
0500000US04013,04013,"Maricopa County, Arizona",1521131,9246,23444,2256,1497687,9416
0500000US04015,04015,"Mohave County, Arizona",84876,2775,1846,613,83030,2805
0500000US04017,04017,"Navajo County, Arizona",33587,1656,1228,378,32359,1646
0500000US04019,04019,"Pima County, Arizona",400835,4105,6715,1297,394120,4054
0500000US04021,04021,"Pinal County, Arizona",132352,3221,2006,683,130346,3415
0500000US04025,04025,"Yavapai County, Arizona",94962,2874,1221,544,93741,2786
0500000US04027,04027,"Yuma County, Arizona",73072,2001,1057,472,72015,2023
0500000US05007,05007,"Benton County, Arkansas",94494,1606,834,315,93660,1603
0500000US05031,05031,"Craighead County, Arkansas",39813,1369,672,424,39141,1420
0500000US05045,05045,"Faulkner County, Arkansas",43964,1306,789,338,43175,1331
0500000US05051,05051,"Garland County, Arkansas",39309,2140,650,347,38659,2195
0500000US05069,05069,"Jefferson County, Arkansas",26750,1509,3417,1009,23333,1544
0500000US05085,05085,"Lonoke County, Arkansas",26327,934,238,234,26089,965
0500000US05119,05119,"Pulaski County, Arkansas",161291,2762,2143,675,159148,2841
0500000US05125,05125,"Saline County, Arkansas",43371,1397,1010,522,42361,1491
0500000US05131,05131,"Sebastian County, Arkansas",51055,1457,1044,491,50011,1554
0500000US05143,05143,"Washington County, Arkansas",88690,1279,596,369,88094,1315
0500000US05145,05145,"White County, Arkansas",28221,1401,347,247,27874,1430
0500000US06001,06001,"Alameda County, California",572012,3657,18059,1976,553953,3934
0500000US06007,06007,"Butte County, California",85531,2090,3672,915,81859,2243
0500000US06013,06013,"Contra Costa County, California",391288,2968,10689,1872,380599,3520
0500000US06017,06017,"El Dorado County, California",69653,2207,1846,668,67807,2074
0500000US06019,06019,"Fresno County, California",303216,2788,24405,2692,278811,3487
0500000US06023,06023,"Humboldt County, California",54230,1436,2081,649,52149,1528
0500000US06025,06025,"Imperial County, California",44855,1612,3842,1062,41013,1919
0500000US06029,06029,"Kern County, California",270359,3011,17079,2483,253280,3721
0500000US06031,06031,"Kings County, California",43090,1044,1888,751,41202,1314
0500000US06033,06033,"Lake County, California",24593,1484,789,460,23804,1467
0500000US06037,06037,"Los Angeles County, California",3305589,8089,120708,5339,3184881,9476
0500000US06039,06039,"Madera County, California",44369,1495,2768,1117,41601,1509
0500000US06041,06041,"Marin County, California",106333,1579,1540,587,104793,1593
0500000US06045,06045,"Mendocino County, California",35439,1083,2041,739,33398,1194
0500000US06047,06047,"Merced County, California",77713,1471,6664,1211,71049,1893
0500000US06053,06053,"Monterey County, California",125740,2166,1980,620,123760,2271
0500000US06055,06055,"Napa County, California",49561,1328,605,250,48956,1365
0500000US06057,06057,"Nevada County, California",38708,1911,1140,596,37568,1933
0500000US06059,06059,"Orange County, California",1032218,5228,21556,2468,1010662,6034
0500000US06061,06061,"Placer County, California",139104,2002,3280,951,135824,2163
0500000US06065,06065,"Riverside County, California",715040,4938,23023,2363,692017,5197
0500000US06067,06067,"Sacramento County, California",535090,3201,25116,2753,509974,3463
0500000US06071,06071,"San Bernardino County, California",633173,4114,29066,3189,604107,4742
0500000US06073,06073,"San Diego County, California",1110568,6697,31045,3147,1079523,7187
0500000US06075,06075,"San Francisco County, California",358703,4561,7267,1317,351436,4783
0500000US06077,06077,"San Joaquin County, California",227186,2066,11267,1920,215919,2856
0500000US06079,06079,"San Luis Obispo County, California",106312,2380,881,441,105431,2397
0500000US06081,06081,"San Mateo County, California",263445,2321,4826,1272,258619,2707
0500000US06083,06083,"Santa Barbara County, California",142449,2099,2995,873,139454,2074
0500000US06085,06085,"Santa Clara County, California",635687,3094,13154,1734,622533,3255
0500000US06087,06087,"Santa Cruz County, California",96257,1860,2113,958,94144,2120
0500000US06089,06089,"Shasta County, California",72095,1299,2439,678,69656,1422
0500000US06095,06095,"Solano County, California",149172,1723,6022,1363,143150,2257
0500000US06097,06097,"Sonoma County, California",187504,2620,3389,671,184115,2589
0500000US06099,06099,"Stanislaus County, California",172881,1805,8663,1534,164218,2013
0500000US06101,06101,"Sutter County, California",32345,817,1593,617,30752,935
0500000US06107,06107,"Tulare County, California",135648,1649,12599,1825,123049,2262
0500000US06111,06111,"Ventura County, California",268091,2469,4825,1083,263266,2647
0500000US06113,06113,"Yolo County, California",73055,1314,1701,832,71354,1514
0500000US06115,06115,"Yuba County, California",26699,679,1333,631,25366,941
