GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Has one or more types of computing devices:,Margin of Error; Total: - Has one or more types of computing devices:,Estimate; Total: - Has one or more types of computing devices: - Desktop or laptop,Margin of Error; Total: - Has one or more types of computing devices: - Desktop or laptop,Estimate; Total: - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop alone,Margin of Error; Total: - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop alone,"Estimate; Total: - Has one or more types of computing devices: - Smartphone, tablet or other portable wireless computer or other computer","Margin of Error; Total: - Has one or more types of computing devices: - Smartphone, tablet or other portable wireless computer or other computer","Estimate; Total: - Has one or more types of computing devices: - Smartphone, tablet or other portable wireless computer or other computer - Smartphone, tablet or other portable wireless computer or other computer, no desktop or laptop","Margin of Error; Total: - Has one or more types of computing devices: - Smartphone, tablet or other portable wireless computer or other computer - Smartphone, tablet or other portable wireless computer or other computer, no desktop or laptop",Estimate; Total: - No Computer,Margin of Error; Total: - No Computer
0500000US01003,01003,"Baldwin County, Alabama",76779,3010,66894,3117,56302,2991,5502,1193,61392,3246,10592,2019,9885,1894
0500000US01015,01015,"Calhoun County, Alabama",43972,1687,37160,1948,30423,1959,3757,733,33403,1983,6737,1214,6812,1022
0500000US01043,01043,"Cullman County, Alabama",30299,1234,24601,1305,18747,1367,2087,548,22514,1325,5854,1235,5698,988
0500000US01049,01049,"DeKalb County, Alabama",25383,1190,21038,1305,14448,1507,2612,714,18426,1203,6590,1449,4345,1003
0500000US01051,01051,"Elmore County, Alabama",29350,1102,26807,1234,21442,1611,2221,638,24586,1364,5365,1315,2543,720
0500000US01055,01055,"Etowah County, Alabama",38766,1489,32526,1659,24446,1926,2758,671,29768,1770,8080,1458,6240,974
0500000US01069,01069,"Houston County, Alabama",39167,959,31375,1022,24829,1005,4078,470,27297,1045,6546,746,7792,664
0500000US01073,01073,"Jefferson County, Alabama",261904,4316,229312,4699,184976,5402,18233,1759,211079,4950,44336,3206,32592,2336
0500000US01077,01077,"Lauderdale County, Alabama",37875,1391,30898,1688,26094,1561,2607,757,28291,1804,4804,1002,6977,1276
0500000US01081,01081,"Lee County, Alabama",59354,1783,54042,2081,47066,2203,3006,756,51036,2112,6976,1557,5312,1231
0500000US01083,01083,"Limestone County, Alabama",31880,1214,26790,1308,22674,1510,2832,786,23958,1410,4116,1211,5090,1186
0500000US01089,01089,"Madison County, Alabama",143669,2833,131789,3058,115037,3129,11747,1516,120042,3102,16752,1948,11880,1720
0500000US01095,01095,"Marshall County, Alabama",34726,1047,29177,1318,22478,1479,2609,714,26568,1474,6699,1071,5549,1046
0500000US01097,01097,"Mobile County, Alabama",157141,2741,129902,3346,103618,3158,13863,1597,116039,3437,26284,2580,27239,2389
0500000US01101,01101,"Montgomery County, Alabama",90827,1963,77854,2306,60679,2885,5784,1018,72070,2259,17175,2491,12973,1490
0500000US01103,01103,"Morgan County, Alabama",44816,1847,36987,2105,29863,1989,3106,725,33881,2069,7124,1346,7829,1347
0500000US01115,01115,"St. Clair County, Alabama",31615,1367,28292,1474,23932,1541,3926,1160,24366,1588,4360,1261,3323,994
0500000US01117,01117,"Shelby County, Alabama",76059,1692,71987,1741,63873,1890,4644,855,67343,1813,8114,1556,4072,895
0500000US01121,01121,"Talladega County, Alabama",31517,1635,26992,1717,19188,1768,2908,807,24084,1769,7804,1673,4525,775
0500000US01125,01125,"Tuscaloosa County, Alabama",73825,2003,63681,2400,51712,2652,4475,1247,59206,2662,11969,1914,10144,1608
0500000US01127,01127,"Walker County, Alabama",23863,1316,20024,1318,14933,1482,1390,472,18634,1354,5091,1061,3839,750
0500000US02020,02020,"Anchorage Municipality, Alaska",105249,1864,101065,2096,91248,2634,7084,1300,93981,2422,9817,1966,4184,1060
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",33770,1901,31682,2007,28137,1926,2928,912,28754,2234,3545,1007,2088,925
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",30305,769,28650,782,25266,910,2395,517,26255,888,3384,596,1655,405
0500000US04001,04001,"Apache County, Arizona",20018,884,12417,819,9568,843,1896,567,10521,855,2849,572,7601,631
0500000US04003,04003,"Cochise County, Arizona",50147,2119,43629,2322,38200,2210,6596,1102,37033,2361,5429,1142,6518,1059
0500000US04005,04005,"Coconino County, Arizona",47408,1957,42484,2025,37636,1953,4285,929,38199,2084,4848,982,4924,806
0500000US04013,04013,"Maricopa County, Arizona",1521131,9246,1408161,10141,1242692,11261,112436,4999,1295725,10527,165469,5896,112970,5198
0500000US04015,04015,"Mohave County, Arizona",84876,2775,73420,3334,65113,3216,12548,1739,60872,3274,8307,1577,11456,1769
0500000US04017,04017,"Navajo County, Arizona",33587,1656,24694,1439,20081,1393,2945,640,21749,1456,4613,863,8893,1000
0500000US04019,04019,"Pima County, Arizona",400835,4105,364197,4698,315037,5539,34867,2484,329330,5017,49160,3742,36638,3197
0500000US04021,04021,"Pinal County, Arizona",132352,3221,120230,3445,106528,3386,12608,1697,107622,3506,13702,1886,12122,1598
0500000US04025,04025,"Yavapai County, Arizona",94962,2874,84713,2985,77589,3204,13586,1698,71127,3272,7124,1710,10249,1317
0500000US04027,04027,"Yuma County, Arizona",73072,2001,62561,2529,49992,2855,6272,1159,56289,2760,12569,1918,10511,1698
0500000US05007,05007,"Benton County, Arkansas",94494,1606,86755,1881,74926,2155,7001,1102,79754,2144,11829,1761,7739,1106
0500000US05031,05031,"Craighead County, Arkansas",39813,1369,34907,1666,27076,1912,2215,578,32692,1663,7831,1774,4906,932
0500000US05045,05045,"Faulkner County, Arkansas",43964,1306,39641,1669,33118,1817,2455,623,37186,1646,6523,1468,4323,927
0500000US05051,05051,"Garland County, Arkansas",39309,2140,34337,2113,26704,1948,3795,1010,30542,2259,7633,1723,4972,1190
0500000US05069,05069,"Jefferson County, Arkansas",26750,1509,22928,1534,16444,1545,1800,550,21128,1661,6484,1226,3822,818
0500000US05085,05085,"Lonoke County, Arkansas",26327,934,22508,1148,19628,1422,2691,795,19817,1222,2880,841,3819,898
0500000US05119,05119,"Pulaski County, Arkansas",161291,2762,138755,3426,115516,3979,12559,1941,126196,3740,23239,3024,22536,2635
0500000US05125,05125,"Saline County, Arkansas",43371,1397,39103,1692,33788,1865,3257,784,35846,1750,5315,1125,4268,997
0500000US05131,05131,"Sebastian County, Arkansas",51055,1457,44262,1959,33906,1864,5414,1134,38848,2111,10356,1850,6793,1348
0500000US05143,05143,"Washington County, Arkansas",88690,1279,80809,2145,67775,2704,6648,1243,74161,2449,13034,2205,7881,1478
0500000US05145,05145,"White County, Arkansas",28221,1401,23382,1558,17818,1580,1609,590,21773,1481,5564,1184,4839,1147
0500000US06001,06001,"Alameda County, California",572012,3657,535400,5056,488000,5264,34144,2435,501256,5536,47400,3100,36612,2976
0500000US06007,06007,"Butte County, California",85531,2090,78416,2254,68853,2461,8354,1260,70062,2227,9563,1688,7115,1269
0500000US06013,06013,"Contra Costa County, California",391288,2968,371712,3599,334248,3770,24254,1858,347458,3728,37464,3101,19576,2390
0500000US06017,06017,"El Dorado County, California",69653,2207,64756,2238,59390,2237,5766,1167,58990,2090,5366,1132,4897,1200
0500000US06019,06019,"Fresno County, California",303216,2788,268565,4068,212354,4551,18584,2252,249981,4209,56211,3420,34651,3157
0500000US06023,06023,"Humboldt County, California",54230,1436,48613,1624,43545,1836,6317,1116,42296,1895,5068,1023,5617,1031
0500000US06025,06025,"Imperial County, California",44855,1612,37339,1809,30224,1689,2241,696,35098,1836,7115,1335,7516,1102
0500000US06029,06029,"Kern County, California",270359,3011,233939,4062,190430,4544,17470,1921,216469,4232,43509,3697,36420,2889
0500000US06031,06031,"Kings County, California",43090,1044,38818,1411,30428,1921,2034,638,36784,1505,8390,1404,4272,878
0500000US06033,06033,"Lake County, California",24593,1484,20752,1585,17353,1627,2621,708,18131,1644,3399,1144,3841,901
0500000US06037,06037,"Los Angeles County, California",3305589,8089,3007431,9799,2632443,11427,218222,6394,2789209,10093,374988,8664,298158,7115
0500000US06039,06039,"Madera County, California",44369,1495,39168,1724,30655,1879,2375,795,36793,1712,8513,1560,5201,975
0500000US06041,06041,"Marin County, California",106333,1579,99561,2064,95485,2410,9509,1325,90052,2329,4076,1115,6772,1540
0500000US06045,06045,"Mendocino County, California",35439,1083,31354,1318,25465,1493,5177,983,26177,1487,5889,1188,4085,895
0500000US06047,06047,"Merced County, California",77713,1471,70000,1762,52819,2271,5207,1014,64793,1888,17181,2110,7713,1219
0500000US06053,06053,"Monterey County, California",125740,2166,108042,2695,94579,2688,9322,1539,98720,2655,13463,1723,17698,2032
0500000US06055,06055,"Napa County, California",49561,1328,45602,1489,41818,1803,4594,847,41008,1581,3784,1108,3959,938
0500000US06057,06057,"Nevada County, California",38708,1911,35320,1952,32576,1890,3525,953,31795,2046,2744,780,3388,963
0500000US06059,06059,"Orange County, California",1032218,5228,980222,5784,907291,7370,66842,3741,913380,6425,72931,4517,51996,3231
0500000US06061,06061,"Placer County, California",139104,2002,132028,2279,125826,2725,10349,1230,121679,2489,6202,1448,7076,1140
0500000US06065,06065,"Riverside County, California",715040,4938,655409,5709,572479,6241,53435,3267,601974,6601,82930,3971,59631,3518
0500000US06067,06067,"Sacramento County, California",535090,3201,499983,3555,441929,4518,38575,2817,461408,4186,58054,3515,35107,2558
0500000US06071,06071,"San Bernardino County, California",633173,4114,581825,4336,487436,6060,43102,3394,538723,4874,94389,5279,51348,3598
0500000US06073,06073,"San Diego County, California",1110568,6697,1049390,7545,954423,8934,73174,4377,976216,7891,94967,4996,61178,3349
0500000US06075,06075,"San Francisco County, California",358703,4561,331856,4838,311875,5406,24399,2349,307457,4910,19981,2291,26847,2753
0500000US06077,06077,"San Joaquin County, California",227186,2066,200581,3018,165045,3267,13588,1682,186993,3375,35536,2999,26605,2387
0500000US06079,06079,"San Luis Obispo County, California",106312,2380,98852,2417,91260,2500,9816,1285,89036,2807,7592,1558,7460,1431
0500000US06081,06081,"San Mateo County, California",263445,2321,251322,2871,235303,3680,18025,2046,233297,3367,16019,2444,12123,1534
0500000US06083,06083,"Santa Barbara County, California",142449,2099,130247,2604,116892,3052,10347,1411,119900,2543,13355,2006,12202,1710
0500000US06085,06085,"Santa Clara County, California",635687,3094,607619,3621,569844,4800,36969,2399,570650,4110,37775,3820,28068,2492
0500000US06087,06087,"Santa Cruz County, California",96257,1860,89028,2338,83294,2521,8457,1490,80571,2722,5734,1296,7229,1518
0500000US06089,06089,"Shasta County, California",72095,1299,64465,1400,57095,1707,9788,1272,54677,1950,7370,1114,7630,977
0500000US06095,06095,"Solano County, California",149172,1723,140001,1852,125017,2768,9346,1293,130655,2299,14984,1880,9171,1401
0500000US06097,06097,"Sonoma County, California",187504,2620,173568,3139,159977,3526,18329,1979,155239,3355,13591,1993,13936,2066
0500000US06099,06099,"Stanislaus County, California",172881,1805,155940,2784,125294,3681,8895,1472,147045,2974,30646,3030,16941,1973
0500000US06101,06101,"Sutter County, California",32345,817,28158,1237,23031,1505,2203,617,25955,1373,5127,1260,4187,974
0500000US06107,06107,"Tulare County, California",135648,1649,119432,2367,90017,2842,7466,1370,111966,2389,29415,2597,16216,1762
0500000US06111,06111,"Ventura County, California",268091,2469,246321,3319,223000,3724,21079,1494,225242,3600,23321,2586,21770,1992
0500000US06113,06113,"Yolo County, California",73055,1314,68421,1566,61284,2136,4217,829,64204,1755,7137,1449,4634,998
0500000US06115,06115,"Yuba County, California",26699,679,24016,1007,20223,1172,2310,819,21706,1285,3793,883,2683,804
0500000US08001,08001,"Adams County, Colorado",163122,1428,152148,2007,131454,2576,11048,1473,141100,2487,20694,2136,10974,1472
0500000US08005,08005,"Arapahoe County, Colorado",235942,2086,223656,2683,205635,3052,16488,1601,207168,2725,18021,2251,12286,1872
0500000US08013,08013,"Boulder County, Colorado",123820,2004,118274,2129,112618,2415,10164,1538,108110,2453,5656,1106,5546,1021
0500000US08014,08014,"Broomfield County, Colorado",26269,479,25672,509,24147,854,1914,593,23758,781,1525,700,597,256
0500000US08031,08031,"Denver County, Colorado",292003,2724,272808,3663,236568,3990,18672,1820,254136,3707,36240,2768,19195,2437
0500000US08035,08035,"Douglas County, Colorado",120125,1373,118203,1615,113794,2086,6595,1099,111608,1954,4409,1364,1922,647
0500000US08041,08041,"El Paso County, Colorado",257508,2763,245393,3180,218720,3763,21193,1860,224200,3587,26673,2857,12115,1742
0500000US08059,08059,"Jefferson County, Colorado",230890,1877,218200,2480,202943,3101,20273,1900,197927,2431,15257,2034,12690,1719
0500000US08069,08069,"Larimer County, Colorado",131407,1911,125808,2019,116497,2824,11368,1577,114440,2244,9311,1961,5599,1003
0500000US08077,08077,"Mesa County, Colorado",60188,1483,55559,1756,48999,1837,5587,1134,49972,2206,6560,1349,4629,1012
0500000US08101,08101,"Pueblo County, Colorado",62275,1632,54407,1925,43823,1917,5973,993,48434,2167,10584,1477,7868,1279
0500000US08123,08123,"Weld County, Colorado",102087,1317,94594,1445,81467,1719,6233,887,88361,1667,13127,1594,7493,1026
0500000US09001,09001,"Fairfield County, Connecticut",335318,3387,306332,3849,279142,4623,26116,2221,280216,4061,27190,2517,28986,2711
0500000US09003,09003,"Hartford County, Connecticut",350369,2526,307961,3722,268172,4710,30735,2402,277226,4257,39789,3493,42408,2791
0500000US09005,09005,"Litchfield County, Connecticut",74105,1681,67806,1682,62150,1854,8708,1172,59098,1928,5656,1120,6299,911
0500000US09007,09007,"Middlesex County, Connecticut",66002,1801,58518,2043,54895,2158,6126,1128,52392,2207,3623,886,7484,1374
0500000US09009,09009,"New Haven County, Connecticut",327560,3536,288870,4392,254214,4878,28465,2230,260405,4408,34656,2656,38690,3226
0500000US09011,09011,"New London County, Connecticut",105113,2058,94664,2427,84003,2502,10248,1373,84416,2576,10661,1530,10449,1516
0500000US09013,09013,"Tolland County, Connecticut",54068,1539,49014,1907,45212,1804,4814,750,44200,1960,3802,1121,5054,1227
0500000US09015,09015,"Windham County, Connecticut",44734,1183,38645,1643,33575,1997,5151,1101,33494,1676,5070,1246,6089,1236
0500000US10001,10001,"Kent County, Delaware",64452,1537,58140,1931,49495,2310,5694,1227,52446,1945,8645,1489,6312,1107
0500000US10003,10003,"New Castle County, Delaware",203782,2314,187388,2893,159427,3878,14802,1699,172586,3112,27961,2836,16394,1722
0500000US10005,10005,"Sussex County, Delaware",82851,2545,72980,2643,63345,2420,9167,1206,63813,2555,9635,1394,9871,1272
0500000US11001,11001,"District of Columbia, District of Columbia",281241,3152,252726,3982,217858,4513,15952,1666,236774,4418,34868,2874,28515,3099
0500000US12001,12001,"Alachua County, Florida",94428,3539,85282,3435,74244,3141,7485,1164,77797,3909,11038,1672,9146,1342
0500000US12005,12005,"Bay County, Florida",70330,2729,63986,2831,53324,2745,5805,1089,58181,2851,10662,1704,6344,1274
0500000US12009,12009,"Brevard County, Florida",226021,4123,206379,4509,187971,4391,24456,2264,181923,4587,18408,2184,19642,2440
0500000US12011,12011,"Broward County, Florida",681474,7066,631091,7613,559810,7079,43421,3036,587670,8430,71281,5196,50383,3822
0500000US12015,12015,"Charlotte County, Florida",75147,2941,68520,3054,60289,2919,9911,1498,58609,2897,8231,1632,6627,1363
0500000US12017,12017,"Citrus County, Florida",63581,2500,55340,2712,49494,2698,9741,1599,45599,2663,5846,1365,8241,1641
0500000US12019,12019,"Clay County, Florida",74130,1242,69251,1640,61392,2223,8128,1457,61123,2343,7859,1807,4879,1157
0500000US12021,12021,"Collier County, Florida",139522,4307,130083,4444,114117,4066,13885,2010,116198,4619,15966,2571,9439,1568
0500000US12023,12023,"Columbia County, Florida",24215,1165,21166,1349,16095,1405,2424,758,18742,1446,5071,1162,3049,902
0500000US12031,12031,"Duval County, Florida",353946,4959,320979,5207,271789,4664,24155,2380,296824,5409,49190,3692,32967,3089
0500000US12033,12033,"Escambia County, Florida",118702,2712,106779,2981,96334,2949,10715,1411,96064,2933,10445,1584,11923,1460
0500000US12035,12035,"Flagler County, Florida",41311,1902,36319,1850,33632,1683,5686,1300,30633,2030,2687,808,4992,1085
0500000US12053,12053,"Hernando County, Florida",74262,2002,67345,2021,60293,2031,7884,1190,59461,2233,7052,1137,6917,1266
0500000US12055,12055,"Highlands County, Florida",38808,2109,29926,2031,25718,1753,4702,1074,25224,2347,4208,1201,8882,1526
0500000US12057,12057,"Hillsborough County, Florida",514487,5129,476499,6329,419343,6475,35401,2429,441098,6545,57156,3483,37988,3207
0500000US12061,12061,"Indian River County, Florida",55427,2857,48181,2809,44372,2721,7317,1356,40864,2614,3809,854,7246,1454
0500000US12069,12069,"Lake County, Florida",128888,3114,115676,3028,105535,3241,14703,1807,100973,3231,10141,1899,13212,2003
0500000US12071,12071,"Lee County, Florida",261735,5295,240887,5166,211824,4943,25370,2465,215517,5152,29063,2796,20848,2437
0500000US12073,12073,"Leon County, Florida",112119,2406,106353,2464,94799,2775,6977,1135,99376,2559,11554,1923,5766,1153
0500000US12081,12081,"Manatee County, Florida",142465,2824,129025,3064,113273,3367,14322,1640,114703,3237,15752,2265,13440,1766
0500000US12083,12083,"Marion County, Florida",134239,3539,115000,3675,98758,3837,17637,2370,97363,3863,16242,2377,19239,2622
0500000US12085,12085,"Martin County, Florida",62976,2406,57757,2259,50781,2128,6147,1111,51610,2451,6976,1296,5219,1245
0500000US12086,12086,"Miami-Dade County, Florida",880766,6091,775461,6696,655509,6775,53563,3463,721898,7325,119952,5966,105305,4707
0500000US12087,12087,"Monroe County, Florida",30318,1827,27609,1731,24479,1615,2429,686,25180,1707,3130,887,2709,607
0500000US12089,12089,"Nassau County, Florida",30547,1471,28404,1755,26388,1789,3735,1085,24669,1939,2016,686,2143,1040
0500000US12091,12091,"Okaloosa County, Florida",76102,2334,69986,2507,62255,2615,6661,1070,63325,2516,7731,1664,6116,1338
0500000US12095,12095,"Orange County, Florida",468515,4842,434556,5612,388229,6392,24442,2544,410114,6117,46327,3781,33959,3559
0500000US12097,12097,"Osceola County, Florida",97569,3624,87731,3830,76974,4057,6714,1403,81017,3610,10757,1983,9838,2131
0500000US12099,12099,"Palm Beach County, Florida",536446,6570,491343,6419,431306,6068,43763,2838,447580,6677,60037,3957,45103,2950
0500000US12101,12101,"Pasco County, Florida",195628,2957,172790,3203,154627,3842,20810,1903,151980,3102,18163,2416,22838,2338
0500000US12103,12103,"Pinellas County, Florida",407268,5562,364560,6722,322497,7291,43556,2478,321004,7517,42063,3748,42708,3490
0500000US12105,12105,"Polk County, Florida",226429,3850,189454,3858,156598,3492,29017,2476,160437,4051,32856,2818,36975,2978
0500000US12107,12107,"Putnam County, Florida",28025,1357,21796,1610,18005,1505,3421,877,18375,1592,3791,885,6229,1160
0500000US12109,12109,"St. Johns County, Florida",84187,2400,78429,2780,74132,2964,7150,1306,71279,2670,4297,1074,5758,1579
0500000US12111,12111,"St. Lucie County, Florida",111617,3321,98991,3696,87620,4112,12076,2062,86915,3812,11371,2390,12626,2222
0500000US12113,12113,"Santa Rosa County, Florida",61817,1845,59176,1823,54356,2144,5571,1339,53605,2115,4820,1252,2641,614
0500000US12115,12115,"Sarasota County, Florida",176191,4327,159222,4564,143611,4473,25568,2910,133654,4500,15611,2037,16969,2119
0500000US12117,12117,"Seminole County, Florida",167549,2524,158236,3124,146270,3300,10642,1595,147594,3698,11966,2014,9313,1627
0500000US12119,12119,"Sumter County, Florida",51781,2926,47538,2780,44030,2851,8180,1736,39358,2729,3508,1092,4243,936
0500000US12127,12127,"Volusia County, Florida",214039,4010,189681,4490,165379,4444,22654,2178,167027,4437,24302,2611,24358,2308
0500000US12131,12131,"Walton County, Florida",27207,2120,23988,2110,21142,2097,2273,768,21715,2035,2846,919,3219,1011
0500000US13013,13013,"Barrow County, Georgia",24865,971,22685,1005,20030,1112,1622,527,21063,1080,2655,700,2180,625
0500000US13015,13015,"Bartow County, Georgia",36430,1317,32601,1534,22930,1688,2784,770,29817,1630,9671,1674,3829,882
0500000US13021,13021,"Bibb County, Georgia",57692,1763,47706,1939,37843,1871,4077,960,43629,1855,9863,1444,9986,1292
0500000US13031,13031,"Bulloch County, Georgia",26411,1512,23107,1491,18941,1603,1318,517,21789,1548,4166,1361,3304,818
0500000US13045,13045,"Carroll County, Georgia",40516,1473,36416,1680,29767,2095,2399,773,34017,1728,6649,1473,4100,978
0500000US13047,13047,"Catoosa County, Georgia",24743,1128,22303,1173,18691,1313,1596,614,20707,1243,3612,1046,2440,927
0500000US13051,13051,"Chatham County, Georgia",110185,1840,101154,2005,86472,2683,6915,1188,94239,2117,14682,2029,9031,1279
0500000US13057,13057,"Cherokee County, Georgia",84088,1934,79575,1973,74209,2175,6041,1366,73534,2135,5366,1517,4513,1235
0500000US13059,13059,"Clarke County, Georgia",47563,1363,42999,1466,37821,1923,3387,1116,39612,1729,5178,1342,4564,1062
0500000US13063,13063,"Clayton County, Georgia",94346,2051,88434,2284,69607,2619,5662,1021,82772,2551,18827,1951,5912,1167
0500000US13067,13067,"Cobb County, Georgia",277949,2711,265254,3020,242338,4007,13742,1753,251512,3333,22916,2938,12695,1834
0500000US13073,13073,"Columbia County, Georgia",47513,1934,45208,2014,38154,2407,3827,1153,41381,2169,7054,1750,2305,914
0500000US13077,13077,"Coweta County, Georgia",50503,1202,46349,1369,41705,1706,3118,766,43231,1506,4644,1215,4154,1024
0500000US13089,13089,"DeKalb County, Georgia",281356,3760,262790,4133,223428,5198,15617,1897,247173,4179,39362,3946,18566,2136
0500000US13095,13095,"Dougherty County, Georgia",34264,1537,28704,1817,21266,1847,2626,785,26078,1649,7438,1329,5560,1022
0500000US13097,13097,"Douglas County, Georgia",48901,1209,45812,1383,40474,1611,2626,753,43186,1540,5338,1290,3089,918
0500000US13113,13113,"Fayette County, Georgia",40046,922,37584,1150,36120,1215,2793,587,34791,1367,1464,633,2462,722
0500000US13115,13115,"Floyd County, Georgia",35411,1199,30386,1433,23851,1353,2719,727,27667,1482,6535,1231,5025,971
0500000US13117,13117,"Forsyth County, Georgia",72208,1311,69241,1394,65059,1702,3515,694,65726,1459,4182,1142,2967,652
0500000US13121,13121,"Fulton County, Georgia",396184,4547,367120,4565,327550,5202,21494,2223,345626,5096,39570,3344,29064,2625
0500000US13127,13127,"Glynn County, Georgia",31757,2289,27314,2165,23410,2145,2881,1001,24433,2017,3904,1054,4443,1093
0500000US13135,13135,"Gwinnett County, Georgia",290405,2752,277786,3258,252617,4144,15230,1848,262556,3566,25169,3031,12619,2161
0500000US13139,13139,"Hall County, Georgia",62038,1709,55953,1989,47854,2272,4884,903,51069,1988,8099,1221,6085,1115
0500000US13151,13151,"Henry County, Georgia",74473,1560,71429,1937,63169,2359,4750,1240,66679,1881,8260,1972,3044,1012
0500000US13153,13153,"Houston County, Georgia",55901,1389,51573,1624,45903,1729,3982,1008,47591,1943,5670,1288,4328,992
0500000US13179,13179,"Liberty County, Georgia",22952,1001,21723,1057,18892,1180,1147,458,20576,1042,2831,799,1229,465
