GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
0500000US01003,01003,"Baldwin County, Alabama",110607,500,76779,3010,33828,2997
0500000US01015,01015,"Calhoun County, Alabama",53337,475,43972,1687,9365,1627
0500000US01043,01043,"Cullman County, Alabama",37265,309,30299,1234,6966,1191
0500000US01049,01049,"DeKalb County, Alabama",31060,230,25383,1190,5677,1175
0500000US01051,01051,"Elmore County, Alabama",33751,411,29350,1102,4401,1063
0500000US01055,01055,"Etowah County, Alabama",47541,225,38766,1489,8775,1444
0500000US01069,01069,"Houston County, Alabama",46883,219,39167,959,7716,932
0500000US01073,01073,"Jefferson County, Alabama",308553,997,261904,4316,46649,3957
0500000US01077,01077,"Lauderdale County, Alabama",44577,420,37875,1391,6702,1270
0500000US01081,01081,"Lee County, Alabama",67173,391,59354,1783,7819,1781
0500000US01083,01083,"Limestone County, Alabama",35769,336,31880,1214,3889,1242
0500000US01089,01089,"Madison County, Alabama",159087,756,143669,2833,15418,2619
0500000US01095,01095,"Marshall County, Alabama",40344,142,34726,1047,5618,1061
0500000US01097,01097,"Mobile County, Alabama",182640,839,157141,2741,25499,2633
0500000US01101,01101,"Montgomery County, Alabama",104618,908,90827,1963,13791,1736
0500000US01103,01103,"Morgan County, Alabama",51677,503,44816,1847,6861,1742
0500000US01115,01115,"St. Clair County, Alabama",36014,323,31615,1367,4399,1339
0500000US01117,01117,"Shelby County, Alabama",85377,417,76059,1692,9318,1769
0500000US01121,01121,"Talladega County, Alabama",37203,659,31517,1635,5686,1434
0500000US01125,01125,"Tuscaloosa County, Alabama",89748,723,73825,2003,15923,1887
0500000US01127,01127,"Walker County, Alabama",30664,212,23863,1316,6801,1309
0500000US02020,02020,"Anchorage Municipality, Alaska",115539,387,105249,1864,10290,1842
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",41565,342,33770,1901,7795,1922
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",41491,211,30305,769,11186,767
0500000US04001,04001,"Apache County, Arizona",32798,107,20018,884,12780,878
0500000US04003,04003,"Cochise County, Arizona",60871,808,50147,2119,10724,1769
0500000US04005,04005,"Coconino County, Arizona",65278,810,47408,1957,17870,1827
0500000US04013,04013,"Maricopa County, Arizona",1711390,1247,1521131,9246,190259,9279
0500000US04015,04015,"Mohave County, Arizona",113817,822,84876,2775,28941,2722
