GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 12:00 a.m. to 4:59 a.m.,Margin of Error; Total: - 12:00 a.m. to 4:59 a.m.,Estimate; Total: - 5:00 a.m. to 5:29 a.m.,Margin of Error; Total: - 5:00 a.m. to 5:29 a.m.,Estimate; Total: - 5:30 a.m. to 5:59 a.m.,Margin of Error; Total: - 5:30 a.m. to 5:59 a.m.,Estimate; Total: - 6:00 a.m. to 6:29 a.m.,Margin of Error; Total: - 6:00 a.m. to 6:29 a.m.,Estimate; Total: - 6:30 a.m. to 6:59 a.m.,Margin of Error; Total: - 6:30 a.m. to 6:59 a.m.,Estimate; Total: - 7:00 a.m. to 7:29 a.m.,Margin of Error; Total: - 7:00 a.m. to 7:29 a.m.,Estimate; Total: - 7:30 a.m. to 7:59 a.m.,Margin of Error; Total: - 7:30 a.m. to 7:59 a.m.,Estimate; Total: - 8:00 a.m. to 8:29 a.m.,Margin of Error; Total: - 8:00 a.m. to 8:29 a.m.,Estimate; Total: - 8:30 a.m. to 8:59 a.m.,Margin of Error; Total: - 8:30 a.m. to 8:59 a.m.,Estimate; Total: - 9:00 a.m. to 9:59 a.m.,Margin of Error; Total: - 9:00 a.m. to 9:59 a.m.,Estimate; Total: - 10:00 a.m. to 10:59 a.m.,Margin of Error; Total: - 10:00 a.m. to 10:59 a.m.,Estimate; Total: - 11:00 a.m. to 11:59 a.m.,Margin of Error; Total: - 11:00 a.m. to 11:59 a.m.,Estimate; Total: - 12:00 p.m. to 3:59 p.m.,Margin of Error; Total: - 12:00 p.m. to 3:59 p.m.,Estimate; Total: - 4:00 p.m. to 11:59 p.m.,Margin of Error; Total: - 4:00 p.m. to 11:59 p.m.
0500000US01003,01003,"Baldwin County, Alabama",80838,4298,2843,929,1787,613,4485,1378,10143,2120,10377,2530,14791,2943,11748,2448,6791,1301,2515,908,3889,1404,1780,869,403,342,3668,1117,5618,1762
0500000US01015,01015,"Calhoun County, Alabama",44684,2614,5117,1139,2572,886,4032,1002,5905,1249,5269,1266,5060,1240,3967,891,2695,896,647,338,2191,835,771,558,381,552,3920,1410,2157,689
0500000US01043,01043,"Cullman County, Alabama",31438,2266,2632,849,2333,770,1711,612,3679,1076,2460,757,5511,1181,4463,1107,2973,1179,562,461,1045,614,434,285,184,197,1060,478,2391,816
0500000US01049,01049,"DeKalb County, Alabama",28908,1780,3649,933,2745,1014,3017,1159,3113,849,2145,676,3212,979,3051,1164,1736,800,289,227,619,280,222,231,141,188,3106,853,1863,823
0500000US01051,01051,"Elmore County, Alabama",32931,2419,869,397,1851,783,1264,560,3627,1023,5422,1530,7263,1451,4072,996,1893,740,526,325,1281,561,123,159,477,495,2126,818,2137,949
0500000US01055,01055,"Etowah County, Alabama",38604,2284,3006,808,1534,755,1820,786,4191,973,4194,829,4944,1143,5241,1275,2028,739,1423,651,962,535,688,431,773,933,4136,1066,3664,1072
0500000US01069,01069,"Houston County, Alabama",41999,1348,1577,371,1443,330,1804,378,4218,704,6218,770,5860,762,6758,764,3151,595,1794,486,1566,360,1182,347,693,365,2688,757,3047,514
0500000US01073,01073,"Jefferson County, Alabama",293030,5704,11555,1769,9135,1592,11330,1770,27269,2616,29903,3094,53092,4144,36070,3231,34173,3699,13641,2182,15843,2324,5830,1368,3986,1396,19859,2928,21344,2432
0500000US01077,01077,"Lauderdale County, Alabama",38068,2167,2945,832,1739,671,2417,687,4420,1019,4471,1121,5046,1212,4970,1006,2467,738,1133,468,1616,743,1497,827,800,592,1896,651,2651,868
