GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US01073,01073,"Jefferson County, Alabama",300909,5262,283669,5916,253715,5936,29954,2945,22321,2659,4699,1457,1072,551,1341,753,521,310,2522,777,2399,751,123,168,0,195,0,195,0,195,1070,918,44,71,450,260,4001,1279,1274,636,7879,1420
0500000US01081,01081,"Lee County, Alabama",74400,2750,67220,3158,61170,2912,6050,1868,4404,1410,637,427,177,199,832,1294,0,195,268,180,268,180,0,195,0,195,0,195,0,195,0,195,131,130,450,447,980,412,641,439,4710,1991
0500000US01097,01097,"Mobile County, Alabama",173473,4334,159670,4923,148737,4794,10933,1763,9045,1754,1373,583,264,172,199,159,52,86,1122,632,1053,610,0,195,69,113,0,195,0,195,92,152,108,130,234,241,2514,930,1658,752,8075,1639
0500000US01101,01101,"Montgomery County, Alabama",101311,3503,94514,3683,85986,3931,8528,1604,6408,1347,1288,607,625,408,187,164,20,33,358,274,358,274,0,195,0,195,0,195,0,195,0,195,62,80,32,40,2148,995,473,261,3724,858
0500000US02020,02020,"Anchorage Municipality, Alaska",158236,3367,139661,3772,120738,4102,18923,2796,15035,2301,2133,914,1385,1057,251,244,119,188,2488,1136,2488,1136,0,155,0,155,0,155,0,155,117,145,60,112,2441,892,4019,1081,2524,944,6926,1716
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",52841,2996,48108,3017,40272,3471,7836,2147,5330,1739,1422,1429,817,780,0,155,267,250,446,291,446,291,0,155,0,155,0,155,0,155,0,155,0,155,355,335,2038,787,423,335,1471,684
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",43191,1870,36577,1681,30958,1560,5619,1169,4062,1138,638,354,258,193,246,226,415,232,261,225,261,225,0,155,0,155,0,155,0,155,46,80,0,155,48,73,766,304,2283,693,3210,876
0500000US04005,04005,"Coconino County, Arizona",62981,2376,52267,2790,44550,2469,7717,1507,6361,1439,658,425,356,276,342,328,0,204,941,428,785,396,14,26,23,38,119,141,0,204,0,204,85,142,670,342,4453,1196,448,381,4117,933
0500000US04013,04013,"Maricopa County, Arizona",1966927,13851,1716505,14309,1498285,16538,218220,9056,169243,7437,31202,3885,8923,2066,6828,1799,2024,847,38340,3598,35100,3373,1906,866,892,550,442,360,0,204,2170,684,7884,1577,15395,2002,28173,2876,23904,2557,134556,6110
