GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Male,Margin of Error; Total: - Male,Estimate; Total: - Female,Margin of Error; Total: - Female
0500000US01003,01003,"Baldwin County, Alabama",41.9,0.9,41.7,1.0,42.7,2.3
0500000US01015,01015,"Calhoun County, Alabama",38.5,1.7,37.0,1.9,39.3,1.0
0500000US01043,01043,"Cullman County, Alabama",40.0,1.1,40.7,1.7,39.0,1.9
0500000US01049,01049,"DeKalb County, Alabama",39.9,0.9,41.6,2.0,39.1,0.9
0500000US01051,01051,"Elmore County, Alabama",39.8,2.2,40.6,2.4,38.9,2.6
0500000US01055,01055,"Etowah County, Alabama",40.4,1.5,40.9,1.2,38.6,3.4
0500000US01069,01069,"Houston County, Alabama",40.7,0.8,41.7,0.9,39.3,1.1
0500000US01073,01073,"Jefferson County, Alabama",39.1,0.4,39.6,0.4,38.5,0.5
0500000US01077,01077,"Lauderdale County, Alabama",40.5,1.6,39.6,2.2,41.5,2.1
0500000US01081,01081,"Lee County, Alabama",34.9,1.1,35.2,1.1,34.3,1.8
0500000US01083,01083,"Limestone County, Alabama",41.4,1.4,41.5,1.7,41.2,2.9
0500000US01089,01089,"Madison County, Alabama",40.8,0.9,41.0,1.3,40.5,1.5
0500000US01095,01095,"Marshall County, Alabama",37.8,1.8,37.5,2.0,39.1,3.0
0500000US01097,01097,"Mobile County, Alabama",38.9,0.6,39.5,0.7,38.2,0.6
0500000US01101,01101,"Montgomery County, Alabama",38.1,1.0,38.4,1.2,37.9,1.0
0500000US01103,01103,"Morgan County, Alabama",40.9,0.9,40.5,1.2,41.8,1.9
0500000US01115,01115,"St. Clair County, Alabama",40.8,2.1,40.3,2.6,41.4,2.6
0500000US01117,01117,"Shelby County, Alabama",41.2,0.7,40.8,0.7,41.8,1.1
0500000US01121,01121,"Talladega County, Alabama",39.5,1.2,39.7,1.5,39.4,1.6
0500000US01125,01125,"Tuscaloosa County, Alabama",35.2,0.7,35.4,1.0,35.0,0.9
0500000US01127,01127,"Walker County, Alabama",38.5,3.0,38.5,2.5,38.4,6.0
0500000US02020,02020,"Anchorage Municipality, Alaska",36.9,0.5,36.5,0.5,37.7,0.9
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",33.5,1.1,32.5,1.3,34.8,2.2
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",40.3,1.6,40.4,2.4,40.2,1.9
0500000US04001,04001,"Apache County, Arizona",42.2,2.2,40.9,3.7,42.4,1.4
0500000US04003,04003,"Cochise County, Arizona",39.7,1.1,38.4,1.2,40.8,1.6
0500000US04005,04005,"Coconino County, Arizona",34.6,0.9,35.0,1.0,34.0,1.5
0500000US04013,04013,"Maricopa County, Arizona",39.0,0.3,39.0,0.2,39.1,0.4
0500000US04015,04015,"Mohave County, Arizona",41.2,1.5,41.5,2.6,40.9,2.5
0500000US04017,04017,"Navajo County, Arizona",40.3,3.4,42.1,4.2,39.6,2.8
0500000US04019,04019,"Pima County, Arizona",38.0,0.4,38.0,0.5,38.0,0.7
0500000US04021,04021,"Pinal County, Arizona",39.8,1.0,40.3,1.1,39.3,0.9
0500000US04025,04025,"Yavapai County, Arizona",44.3,1.3,44.8,1.4,43.7,1.9
0500000US04027,04027,"Yuma County, Arizona",37.3,0.8,35.1,0.8,39.0,1.7
0500000US05007,05007,"Benton County, Arkansas",39.4,0.6,39.4,1.0,39.4,0.7
0500000US05031,05031,"Craighead County, Arkansas",36.5,0.5,36.5,0.5,36.9,3.6
0500000US05045,05045,"Faulkner County, Arkansas",36.8,0.9,37.4,0.6,35.7,1.3
0500000US05051,05051,"Garland County, Arkansas",43.2,1.0,43.8,0.7,41.1,3.0
0500000US05069,05069,"Jefferson County, Arkansas",40.9,1.9,41.7,2.5,40.0,3.7
0500000US05085,05085,"Lonoke County, Arkansas",39.7,2.2,39.3,2.1,40.4,3.2
0500000US05119,05119,"Pulaski County, Arkansas",39.2,0.8,38.9,1.2,39.4,1.2
0500000US05125,05125,"Saline County, Arkansas",41.4,0.7,40.7,1.9,41.8,1.4
0500000US05131,05131,"Sebastian County, Arkansas",38.3,1.5,37.6,1.2,39.2,1.3
0500000US05143,05143,"Washington County, Arkansas",36.2,0.8,36.2,0.9,36.0,1.7
0500000US05145,05145,"White County, Arkansas",36.9,1.3,38.1,1.5,35.6,2.4
0500000US06001,06001,"Alameda County, California",39.9,0.3,40.0,0.3,39.8,0.4
0500000US06007,06007,"Butte County, California",37.6,0.9,38.4,1.4,36.8,1.1
0500000US06013,06013,"Contra Costa County, California",41.7,0.4,42.0,0.6,41.3,0.5
0500000US06017,06017,"El Dorado County, California",44.3,1.0,45.0,1.2,43.6,0.9
0500000US06019,06019,"Fresno County, California",38.0,0.5,38.2,0.7,37.9,0.7
0500000US06023,06023,"Humboldt County, California",36.8,0.9,36.7,1.1,36.9,1.2
0500000US06025,06025,"Imperial County, California",38.1,1.2,36.9,1.9,39.2,1.8
0500000US06029,06029,"Kern County, California",37.4,0.4,37.9,0.5,37.1,0.5
0500000US06031,06031,"Kings County, California",36.5,1.0,35.8,0.8,38.1,1.7
0500000US06033,06033,"Lake County, California",40.3,2.3,41.0,2.5,39.5,2.8
0500000US06037,06037,"Los Angeles County, California",39.4,0.1,39.5,0.2,39.3,0.2
0500000US06039,06039,"Madera County, California",38.5,1.6,38.4,2.6,38.7,2.5
0500000US06041,06041,"Marin County, California",45.2,0.5,44.8,0.5,45.6,0.8
0500000US06045,06045,"Mendocino County, California",41.4,1.8,42.1,3.6,41.3,2.3
0500000US06047,06047,"Merced County, California",38.4,0.8,38.5,0.8,38.3,1.3
0500000US06053,06053,"Monterey County, California",38.6,0.5,38.4,0.8,38.8,0.9
0500000US06055,06055,"Napa County, California",41.0,1.2,41.2,1.5,40.9,1.5
0500000US06057,06057,"Nevada County, California",45.3,1.1,45.1,1.4,46.0,2.0
0500000US06059,06059,"Orange County, California",40.6,0.2,40.8,0.2,40.4,0.3
0500000US06061,06061,"Placer County, California",42.5,0.6,42.3,0.6,43.0,1.0
0500000US06065,06065,"Riverside County, California",39.2,0.3,39.3,0.4,39.1,0.4
0500000US06067,06067,"Sacramento County, California",38.8,0.3,39.0,0.4,38.6,0.4
0500000US06071,06071,"San Bernardino County, California",38.6,0.3,38.5,0.4,38.7,0.5
0500000US06073,06073,"San Diego County, California",38.1,0.2,37.6,0.3,38.7,0.3
0500000US06075,06075,"San Francisco County, California",36.7,0.3,37.2,0.3,36.1,0.4
0500000US06077,06077,"San Joaquin County, California",39.1,0.5,39.1,0.7,39.2,0.6
0500000US06079,06079,"San Luis Obispo County, California",37.3,0.8,36.9,0.9,37.8,1.1
0500000US06081,06081,"San Mateo County, California",40.7,0.3,40.4,0.4,41.0,0.6
0500000US06083,06083,"Santa Barbara County, California",36.3,0.6,35.9,0.4,36.8,0.9
0500000US06085,06085,"Santa Clara County, California",40.0,0.2,39.8,0.3,40.3,0.3
0500000US06087,06087,"Santa Cruz County, California",38.8,1.0,39.1,1.4,38.5,1.3
0500000US06089,06089,"Shasta County, California",40.8,1.0,40.4,1.3,41.6,1.9
0500000US06095,06095,"Solano County, California",39.0,0.7,38.5,0.6,40.1,1.0
0500000US06097,06097,"Sonoma County, California",41.6,0.6,40.9,0.5,42.4,0.8
0500000US06099,06099,"Stanislaus County, California",38.5,0.5,38.0,0.6,39.0,0.9
0500000US06101,06101,"Sutter County, California",39.8,1.8,39.8,2.3,39.8,2.3
0500000US06107,06107,"Tulare County, California",39.0,0.6,38.6,0.7,39.4,0.8
0500000US06111,06111,"Ventura County, California",40.9,0.4,40.6,0.5,41.2,0.5
0500000US06113,06113,"Yolo County, California",36.1,0.7,36.8,0.8,35.5,0.7
0500000US06115,06115,"Yuba County, California",36.5,1.0,36.5,0.8,36.6,2.4
0500000US08001,08001,"Adams County, Colorado",38.3,0.5,38.3,0.5,38.4,1.1
0500000US08005,08005,"Arapahoe County, Colorado",40.0,0.5,39.5,0.5,40.4,0.5
0500000US08013,08013,"Boulder County, Colorado",37.9,0.7,37.9,0.8,37.8,1.1
0500000US08014,08014,"Broomfield County, Colorado",41.1,1.1,41.6,1.6,40.4,2.0
0500000US08031,08031,"Denver County, Colorado",35.7,0.3,35.9,0.3,35.2,0.5
0500000US08035,08035,"Douglas County, Colorado",43.2,0.4,43.2,0.5,43.3,0.7
0500000US08041,08041,"El Paso County, Colorado",37.0,0.4,36.4,0.4,37.8,0.6
0500000US08059,08059,"Jefferson County, Colorado",40.9,0.4,40.3,0.5,41.6,0.5
0500000US08069,08069,"Larimer County, Colorado",36.1,0.6,36.2,0.5,36.0,1.1
0500000US08077,08077,"Mesa County, Colorado",39.4,1.3,38.3,0.7,41.4,1.1
0500000US08101,08101,"Pueblo County, Colorado",40.0,1.0,40.1,1.5,39.8,1.1
0500000US08123,08123,"Weld County, Colorado",38.8,0.5,38.8,0.7,38.8,0.6
0500000US09001,09001,"Fairfield County, Connecticut",42.8,0.4,43.0,0.4,42.6,0.5
0500000US09003,09003,"Hartford County, Connecticut",41.5,0.4,41.3,0.4,41.7,0.7
0500000US09005,09005,"Litchfield County, Connecticut",45.4,0.5,45.0,0.8,45.7,0.7
0500000US09007,09007,"Middlesex County, Connecticut",44.5,0.7,45.1,0.8,44.1,1.1
0500000US09009,09009,"New Haven County, Connecticut",40.7,0.4,40.8,0.6,40.6,0.5
0500000US09011,09011,"New London County, Connecticut",41.2,0.8,41.0,0.8,41.3,1.3
0500000US09013,09013,"Tolland County, Connecticut",37.8,1.0,37.4,1.1,38.6,1.4
0500000US09015,09015,"Windham County, Connecticut",40.7,1.1,41.7,2.4,39.0,2.1
0500000US10001,10001,"Kent County, Delaware",39.6,1.3,40.1,1.5,39.0,1.6
0500000US10003,10003,"New Castle County, Delaware",40.9,0.5,40.9,0.5,40.9,0.7
0500000US10005,10005,"Sussex County, Delaware",43.6,0.7,43.2,0.9,44.1,1.4
0500000US11001,11001,"District of Columbia, District of Columbia",34.7,0.3,35.4,0.3,34.0,0.3
0500000US12001,12001,"Alachua County, Florida",33.8,0.9,33.6,1.0,34.1,1.2
0500000US12005,12005,"Bay County, Florida",39.9,1.3,38.9,1.3,42.0,1.5
0500000US12009,12009,"Brevard County, Florida",43.1,0.7,43.3,0.7,42.8,1.1
0500000US12011,12011,"Broward County, Florida",42.0,0.4,42.1,0.5,42.0,0.5
0500000US12015,12015,"Charlotte County, Florida",45.8,1.1,45.3,0.9,46.6,1.5
0500000US12017,12017,"Citrus County, Florida",45.3,1.4,43.6,2.2,46.6,2.2
0500000US12019,12019,"Clay County, Florida",42.5,1.2,42.5,1.7,42.4,1.5
0500000US12021,12021,"Collier County, Florida",42.5,0.5,41.4,1.0,43.2,0.9
0500000US12023,12023,"Columbia County, Florida",39.9,2.7,42.8,4.1,38.9,2.3
0500000US12031,12031,"Duval County, Florida",38.3,0.4,38.1,0.4,38.5,0.7
0500000US12033,12033,"Escambia County, Florida",36.9,0.6,36.5,0.6,37.4,1.1
0500000US12035,12035,"Flagler County, Florida",43.0,2.3,41.6,2.3,44.3,2.1
0500000US12053,12053,"Hernando County, Florida",42.1,1.0,41.9,1.7,42.2,1.2
0500000US12055,12055,"Highlands County, Florida",42.7,1.8,42.3,3.1,44.1,3.5
0500000US12057,12057,"Hillsborough County, Florida",39.3,0.4,39.7,0.4,38.8,0.4
0500000US12061,12061,"Indian River County, Florida",45.2,3.0,46.6,3.8,44.0,2.7
0500000US12069,12069,"Lake County, Florida",42.7,1.1,42.3,1.2,43.1,1.3
0500000US12071,12071,"Lee County, Florida",42.1,0.5,41.9,0.7,42.5,1.1
0500000US12073,12073,"Leon County, Florida",33.2,0.6,33.6,0.8,32.4,1.2
0500000US12081,12081,"Manatee County, Florida",42.3,0.7,42.0,1.1,42.7,0.9
0500000US12083,12083,"Marion County, Florida",42.5,0.9,40.0,1.6,43.7,1.1
0500000US12085,12085,"Martin County, Florida",45.7,1.2,44.7,2.3,46.1,1.0
0500000US12086,12086,"Miami-Dade County, Florida",41.3,0.3,41.5,0.4,41.2,0.4
0500000US12087,12087,"Monroe County, Florida",43.5,1.2,43.0,1.6,44.4,1.6
0500000US12089,12089,"Nassau County, Florida",41.5,1.1,41.4,1.3,41.6,1.5
0500000US12091,12091,"Okaloosa County, Florida",38.3,1.0,36.7,1.1,40.3,1.1
0500000US12095,12095,"Orange County, Florida",38.3,0.4,38.5,0.6,38.1,0.5
0500000US12097,12097,"Osceola County, Florida",39.5,0.6,39.2,1.1,39.7,1.0
0500000US12099,12099,"Palm Beach County, Florida",42.0,0.4,41.9,0.6,42.2,0.6
0500000US12101,12101,"Pasco County, Florida",42.6,0.6,42.8,0.9,42.4,0.7
