GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With earnings,Margin of Error; Total: - With earnings,Estimate; Total: - No earnings,Margin of Error; Total: - No earnings
0500000US01003,01003,"Baldwin County, Alabama",76779,3010,53865,3443,22914,1977
0500000US01015,01015,"Calhoun County, Alabama",43972,1687,30496,1882,13476,1330
0500000US01043,01043,"Cullman County, Alabama",30299,1234,19559,1412,10740,1237
0500000US01049,01049,"DeKalb County, Alabama",25383,1190,17371,1362,8012,1051
0500000US01051,01051,"Elmore County, Alabama",29350,1102,21435,1627,7915,1166
0500000US01055,01055,"Etowah County, Alabama",38766,1489,25727,1809,13039,1320
0500000US01069,01069,"Houston County, Alabama",39167,959,27904,1080,11263,785
0500000US01073,01073,"Jefferson County, Alabama",261904,4316,199621,4836,62283,2762
0500000US01077,01077,"Lauderdale County, Alabama",37875,1391,26978,1604,10897,945
0500000US01081,01081,"Lee County, Alabama",59354,1783,46796,1994,12558,1307
0500000US01083,01083,"Limestone County, Alabama",31880,1214,22661,1567,9219,1471
0500000US01089,01089,"Madison County, Alabama",143669,2833,113827,3118,29842,2146
0500000US01095,01095,"Marshall County, Alabama",34726,1047,23748,1439,10978,1192
0500000US01097,01097,"Mobile County, Alabama",157141,2741,116091,3297,41050,2723
0500000US01101,01101,"Montgomery County, Alabama",90827,1963,68844,2576,21983,1748
0500000US01103,01103,"Morgan County, Alabama",44816,1847,30511,1952,14305,1566
0500000US01115,01115,"St. Clair County, Alabama",31615,1367,24900,1477,6715,971
0500000US01117,01117,"Shelby County, Alabama",76059,1692,60925,1922,15134,1383
0500000US01121,01121,"Talladega County, Alabama",31517,1635,21851,1681,9666,1131
0500000US01125,01125,"Tuscaloosa County, Alabama",73825,2003,57696,2555,16129,1599
0500000US01127,01127,"Walker County, Alabama",23863,1316,14976,1355,8887,975
0500000US02020,02020,"Anchorage Municipality, Alaska",105249,1864,93174,2384,12075,1462
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",33770,1901,30969,2105,2801,731
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",30305,769,24677,847,5628,694
0500000US04001,04001,"Apache County, Arizona",20018,884,12135,798,7883,769
0500000US04003,04003,"Cochise County, Arizona",50147,2119,33270,1980,16877,1418
0500000US04005,04005,"Coconino County, Arizona",47408,1957,37986,1859,9422,1143
0500000US04013,04013,"Maricopa County, Arizona",1521131,9246,1197182,10006,323949,5274
0500000US04015,04015,"Mohave County, Arizona",84876,2775,47590,2559,37286,2057
0500000US04017,04017,"Navajo County, Arizona",33587,1656,21250,1506,12337,1051
0500000US04019,04019,"Pima County, Arizona",400835,4105,289528,5282,111307,4042
0500000US04021,04021,"Pinal County, Arizona",132352,3221,85003,3348,47349,2450
0500000US04025,04025,"Yavapai County, Arizona",94962,2874,56431,3035,38531,2043
0500000US04027,04027,"Yuma County, Arizona",73072,2001,51724,2209,21348,1424
0500000US05007,05007,"Benton County, Arkansas",94494,1606,77148,1879,17346,1394
0500000US05031,05031,"Craighead County, Arkansas",39813,1369,31590,1737,8223,1177
0500000US05045,05045,"Faulkner County, Arkansas",43964,1306,33676,1476,10288,1273
0500000US05051,05051,"Garland County, Arkansas",39309,2140,26925,1938,12384,1391
0500000US05069,05069,"Jefferson County, Arkansas",26750,1509,18079,1638,8671,1274
0500000US05085,05085,"Lonoke County, Arkansas",26327,934,20686,1087,5641,844
0500000US05119,05119,"Pulaski County, Arkansas",161291,2762,122648,3803,38643,2717
0500000US05125,05125,"Saline County, Arkansas",43371,1397,33047,1893,10324,1166
0500000US05131,05131,"Sebastian County, Arkansas",51055,1457,37572,2026,13483,1498
0500000US05143,05143,"Washington County, Arkansas",88690,1279,71431,2175,17259,1761
0500000US05145,05145,"White County, Arkansas",28221,1401,20478,1495,7743,1139
0500000US06001,06001,"Alameda County, California",572012,3657,476625,4784,95387,3530
0500000US06007,06007,"Butte County, California",85531,2090,58886,2630,26645,1976
0500000US06013,06013,"Contra Costa County, California",391288,2968,319646,4006,71642,3104
0500000US06017,06017,"El Dorado County, California",69653,2207,51689,2446,17964,1390
0500000US06019,06019,"Fresno County, California",303216,2788,236277,4126,66939,3466
0500000US06023,06023,"Humboldt County, California",54230,1436,38610,1760,15620,1409
0500000US06025,06025,"Imperial County, California",44855,1612,32777,1672,12078,1310
0500000US06029,06029,"Kern County, California",270359,3011,211715,4429,58644,3496
0500000US06031,06031,"Kings County, California",43090,1044,35679,1340,7411,1066
0500000US06033,06033,"Lake County, California",24593,1484,13563,1403,11030,1137
0500000US06037,06037,"Los Angeles County, California",3305589,8089,2723822,10626,581767,8354
0500000US06039,06039,"Madera County, California",44369,1495,32985,1938,11384,1409
0500000US06041,06041,"Marin County, California",106333,1579,84752,2006,21581,1740
0500000US06045,06045,"Mendocino County, California",35439,1083,25235,1386,10204,1163
0500000US06047,06047,"Merced County, California",77713,1471,60773,2047,16940,1698
0500000US06053,06053,"Monterey County, California",125740,2166,102909,2554,22831,1703
0500000US06055,06055,"Napa County, California",49561,1328,38165,1554,11396,1134
0500000US06057,06057,"Nevada County, California",38708,1911,26191,1773,12517,1401
0500000US06059,06059,"Orange County, California",1032218,5228,854648,6897,177570,5034
0500000US06061,06061,"Placer County, California",139104,2002,103593,2849,35511,2203
0500000US06065,06065,"Riverside County, California",715040,4938,552585,5848,162455,4171
0500000US06067,06067,"Sacramento County, California",535090,3201,418195,4880,116895,4040
0500000US06071,06071,"San Bernardino County, California",633173,4114,510914,5641,122259,5123
0500000US06073,06073,"San Diego County, California",1110568,6697,903697,7113,206871,4941
0500000US06075,06075,"San Francisco County, California",358703,4561,292250,5023,66453,3301
0500000US06077,06077,"San Joaquin County, California",227186,2066,178742,3144,48444,2582
0500000US06079,06079,"San Luis Obispo County, California",106312,2380,78740,2447,27572,1918
0500000US06081,06081,"San Mateo County, California",263445,2321,222279,3077,41166,2428
0500000US06083,06083,"Santa Barbara County, California",142449,2099,114343,2713,28106,1849
0500000US06085,06085,"Santa Clara County, California",635687,3094,542967,4159,92720,3193
0500000US06087,06087,"Santa Cruz County, California",96257,1860,75337,2221,20920,1637
0500000US06089,06089,"Shasta County, California",72095,1299,48156,1616,23939,1275
0500000US06095,06095,"Solano County, California",149172,1723,119849,2426,29323,1916
0500000US06097,06097,"Sonoma County, California",187504,2620,144774,3126,42730,2246
0500000US06099,06099,"Stanislaus County, California",172881,1805,133412,2808,39469,2584
0500000US06101,06101,"Sutter County, California",32345,817,24230,1166,8115,1053
0500000US06107,06107,"Tulare County, California",135648,1649,108944,2668,26704,2075
0500000US06111,06111,"Ventura County, California",268091,2469,216581,3449,51510,2531
0500000US06113,06113,"Yolo County, California",73055,1314,56496,1993,16559,1690
0500000US06115,06115,"Yuba County, California",26699,679,20234,1213,6465,1055
0500000US08001,08001,"Adams County, Colorado",163122,1428,140454,2260,22668,2003
0500000US08005,08005,"Arapahoe County, Colorado",235942,2086,200384,2775,35558,2166
0500000US08013,08013,"Boulder County, Colorado",123820,2004,103007,2335,20813,1687
0500000US08014,08014,"Broomfield County, Colorado",26269,479,21976,860,4293,725
0500000US08031,08031,"Denver County, Colorado",292003,2724,242806,3613,49197,2918
0500000US08035,08035,"Douglas County, Colorado",120125,1373,106406,1755,13719,1221
0500000US08041,08041,"El Paso County, Colorado",257508,2763,215005,3355,42503,2316
0500000US08059,08059,"Jefferson County, Colorado",230890,1877,190273,2527,40617,2043
0500000US08069,08069,"Larimer County, Colorado",131407,1911,105223,2085,26184,1598
0500000US08077,08077,"Mesa County, Colorado",60188,1483,46116,2027,14072,1593
0500000US08101,08101,"Pueblo County, Colorado",62275,1632,43140,1860,19135,1436
0500000US08123,08123,"Weld County, Colorado",102087,1317,86112,1537,15975,1378
0500000US09001,09001,"Fairfield County, Connecticut",335318,3387,277562,3673,57756,2737
0500000US09003,09003,"Hartford County, Connecticut",350369,2526,271120,4216,79249,3225
0500000US09005,09005,"Litchfield County, Connecticut",74105,1681,58212,1886,15893,1202
0500000US09007,09007,"Middlesex County, Connecticut",66002,1801,53667,1870,12335,1194
0500000US09009,09009,"New Haven County, Connecticut",327560,3536,256097,4147,71463,3134
0500000US09011,09011,"New London County, Connecticut",105113,2058,83093,2480,22020,1607
0500000US09013,09013,"Tolland County, Connecticut",54068,1539,43188,1768,10880,1149
0500000US09015,09015,"Windham County, Connecticut",44734,1183,34413,1616,10321,1273
0500000US10001,10001,"Kent County, Delaware",64452,1537,49011,2027,15441,1536
0500000US10003,10003,"New Castle County, Delaware",203782,2314,161146,3261,42636,2269
0500000US10005,10005,"Sussex County, Delaware",82851,2545,56283,2691,26568,1866
0500000US11001,11001,"District of Columbia, District of Columbia",281241,3152,226035,3705,55206,3076
0500000US12001,12001,"Alachua County, Florida",94428,3539,71044,3713,23384,2466
0500000US12005,12005,"Bay County, Florida",70330,2729,52783,2635,17547,1529
0500000US12009,12009,"Brevard County, Florida",226021,4123,150887,4167,75134,3413
0500000US12011,12011,"Broward County, Florida",681474,7066,543362,7402,138112,5389
0500000US12015,12015,"Charlotte County, Florida",75147,2941,37942,2405,37205,1941
0500000US12017,12017,"Citrus County, Florida",63581,2500,30937,2409,32644,1989
0500000US12019,12019,"Clay County, Florida",74130,1242,57891,2019,16239,1902
0500000US12021,12021,"Collier County, Florida",139522,4307,88130,4441,51392,2449
0500000US12023,12023,"Columbia County, Florida",24215,1165,15589,1438,8626,1226
0500000US12031,12031,"Duval County, Florida",353946,4959,279137,4700,74809,3911
0500000US12033,12033,"Escambia County, Florida",118702,2712,88640,2958,30062,2173
0500000US12035,12035,"Flagler County, Florida",41311,1902,22841,1779,18470,1313
0500000US12053,12053,"Hernando County, Florida",74262,2002,43755,2236,30507,1588
0500000US12055,12055,"Highlands County, Florida",38808,2109,20682,2031,18126,1396
0500000US12057,12057,"Hillsborough County, Florida",514487,5129,408675,6048,105812,3536
0500000US12061,12061,"Indian River County, Florida",55427,2857,29800,2520,25627,1751
0500000US12069,12069,"Lake County, Florida",128888,3114,83694,3407,45194,2766
0500000US12071,12071,"Lee County, Florida",261735,5295,164829,5166,96906,3138
