GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 18 years:,Margin of Error; Male: - Under 18 years:,Estimate; Male: - Under 18 years: - Native,Margin of Error; Male: - Under 18 years: - Native,Estimate; Male: - Under 18 years: - Foreign born:,Margin of Error; Male: - Under 18 years: - Foreign born:,Estimate; Male: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Male: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Estimate; Male: - Under 18 years: - Foreign born: - Not a U.S. citizen,Margin of Error; Male: - Under 18 years: - Foreign born: - Not a U.S. citizen,Estimate; Male: - 18 years and over:,Margin of Error; Male: - 18 years and over:,Estimate; Male: - 18 years and over: - Native,Margin of Error; Male: - 18 years and over: - Native,Estimate; Male: - 18 years and over: - Foreign born:,Margin of Error; Male: - 18 years and over: - Foreign born:,Estimate; Male: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Male: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Estimate; Male: - 18 years and over: - Foreign born: - Not a U.S. citizen,Margin of Error; Male: - 18 years and over: - Foreign born: - Not a U.S. citizen,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 18 years:,Margin of Error; Female: - Under 18 years:,Estimate; Female: - Under 18 years: - Native,Margin of Error; Female: - Under 18 years: - Native,Estimate; Female: - Under 18 years: - Foreign born:,Margin of Error; Female: - Under 18 years: - Foreign born:,Estimate; Female: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Female: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Estimate; Female: - Under 18 years: - Foreign born: - Not a U.S. citizen,Margin of Error; Female: - Under 18 years: - Foreign born: - Not a U.S. citizen,Estimate; Female: - 18 years and over:,Margin of Error; Female: - 18 years and over:,Estimate; Female: - 18 years and over: - Native,Margin of Error; Female: - 18 years and over: - Native,Estimate; Female: - 18 years and over: - Foreign born:,Margin of Error; Female: - 18 years and over: - Foreign born:,Estimate; Female: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Female: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Estimate; Female: - 18 years and over: - Foreign born: - Not a U.S. citizen,Margin of Error; Female: - 18 years and over: - Foreign born: - Not a U.S. citizen
0500000US01003,01003,"Baldwin County, Alabama",208563,*****,100902,1243,23282,1189,22683,1346,599,534,52,118,547,524,77620,528,76001,857,1619,704,855,463,764,503,107661,1243,22673,1220,22405,1124,268,289,216,266,52,91,84988,777,82930,1160,2058,909,1175,597,883,536
0500000US01015,01015,"Calhoun County, Alabama",114611,*****,55491,685,12978,595,12802,631,176,183,0,195,176,183,42513,415,41524,661,989,472,285,267,704,406,59120,685,11975,613,11951,617,24,46,24,46,0,195,47145,358,45578,521,1567,397,307,206,1260,370
0500000US01043,01043,"Cullman County, Alabama",82471,*****,40699,690,9071,267,8880,293,191,154,42,75,149,153,31628,623,30134,378,1494,553,1004,656,490,303,41772,690,8929,438,8685,466,244,209,111,138,133,138,32843,611,32113,422,730,539,494,499,236,222
0500000US01049,01049,"DeKalb County, Alabama",70900,*****,34509,667,8394,629,8394,629,0,195,0,195,0,195,26115,271,24250,938,1865,850,0,195,1865,850,36391,667,8715,585,8631,590,84,188,0,195,84,188,27676,221,25733,407,1943,349,370,421,1573,482
0500000US01055,01055,"Etowah County, Alabama",102564,*****,49861,790,11759,693,11759,693,0,195,0,195,0,195,38102,487,36079,972,2023,898,759,638,1264,790,52703,790,10903,794,10673,774,230,166,230,166,0,195,41800,279,40475,443,1325,415,328,223,997,397
0500000US01069,01069,"Houston County, Alabama",104056,*****,50015,226,12802,202,12779,207,23,40,0,195,23,40,37213,163,36279,296,934,235,180,87,754,214,54041,226,11635,196,11615,187,20,32,20,32,0,195,42406,124,41420,265,986,231,532,173,454,170
0500000US01073,01073,"Jefferson County, Alabama",659521,*****,310913,838,76950,650,75908,778,1042,600,464,452,578,402,233963,586,221558,1214,12405,1239,3361,738,9044,1086,348608,838,74832,596,73414,848,1418,780,274,273,1144,653,273776,498,260641,1544,13135,1559,4816,1050,8319,1524
0500000US01077,01077,"Lauderdale County, Alabama",92318,*****,45121,667,10490,850,10229,860,261,140,137,124,124,150,34631,436,33618,506,1013,475,389,248,624,441,47197,667,8435,580,8049,506,386,396,0,195,386,396,38762,475,37939,620,823,463,360,384,463,232
0500000US01081,01081,"Lee County, Alabama",158991,*****,79257,1333,18348,1293,18110,1267,238,228,0,195,238,228,60909,434,56536,961,4373,984,993,374,3380,963,79734,1333,15731,1293,15411,1324,320,241,45,69,275,220,64003,435,60419,1122,3584,1044,1645,818,1939,619
0500000US01083,01083,"Limestone County, Alabama",92753,*****,47635,798,12136,839,11825,914,311,438,194,402,117,187,35499,220,34128,584,1371,530,388,314,983,515,45118,798,9184,745,8980,752,204,305,127,257,77,137,35934,245,34360,688,1574,630,402,392,1172,600
0500000US01089,01089,"Madison County, Alabama",356967,*****,174569,334,40446,258,39660,590,786,577,114,155,672,509,134123,264,125878,1515,8245,1457,2946,890,5299,1344,182398,334,38407,278,37507,591,900,504,398,310,502,371,143991,305,134759,1243,9232,1259,4514,942,4718,885
0500000US01095,01095,"Marshall County, Alabama",95157,*****,46338,706,11841,760,11735,781,106,139,69,120,37,61,34497,246,32157,826,2340,876,556,326,1784,885,48819,706,11659,722,11599,727,60,69,27,62,33,61,37160,204,34456,525,2704,531,885,546,1819,709
0500000US01097,01097,"Mobile County, Alabama",414836,*****,197818,865,49300,702,49049,802,251,269,25,42,226,264,148518,483,141831,1283,6687,1321,4322,1250,2365,707,217018,865,49019,702,47827,633,1192,776,334,415,858,703,167999,484,161880,1235,6119,1131,3264,857,2855,1037
0500000US01101,01101,"Montgomery County, Alabama",226349,*****,107250,671,26860,694,25991,678,869,311,62,108,807,294,80390,208,75560,608,4830,617,2066,553,2764,599,119099,671,25708,695,25450,667,258,126,90,152,168,95,93391,209,88750,504,4641,563,1710,510,2931,561
0500000US01103,01103,"Morgan County, Alabama",119012,*****,59211,1353,14680,1276,14046,1128,634,625,43,78,591,621,44531,304,42429,658,2102,648,636,264,1466,630,59801,1353,12661,1264,12661,1264,0,195,0,195,0,195,47140,357,44942,540,2198,516,513,257,1685,478
0500000US01115,01115,"St. Clair County, Alabama",88019,*****,44199,538,10852,718,10852,718,0,195,0,195,0,195,33347,402,32684,521,663,323,176,50,487,317,43820,538,9364,687,9364,687,0,195,0,195,0,195,34456,403,33851,445,605,258,225,101,380,234
0500000US01117,01117,"Shelby County, Alabama",210622,*****,101886,1090,25236,996,25079,1016,157,296,0,195,157,296,76650,528,72173,981,4477,939,1798,716,2679,1056,108736,1090,25315,1014,24981,968,334,245,32,61,302,256,83421,509,78085,963,5336,903,2575,729,2761,892
0500000US01125,01125,"Tuscaloosa County, Alabama",206102,*****,99017,578,21958,377,21668,341,290,288,131,192,159,200,77059,519,73836,615,3223,547,897,405,2326,512,107085,578,21409,422,21190,451,219,197,188,200,31,57,85676,411,81915,746,3761,873,1181,459,2580,883
0500000US01127,01127,"Walker County, Alabama",64967,*****,32091,263,7968,252,7968,252,0,195,0,195,0,195,24123,100,23799,51,324,109,0,195,324,109,32876,263,6427,252,6427,252,0,195,0,195,0,195,26449,101,26070,212,379,134,29,35,350,126
0500000US02020,02020,"Anchorage Municipality, Alaska",298192,*****,152882,920,38739,912,37332,1059,1407,647,1123,595,284,395,114143,122,102390,1410,11753,1407,8578,1413,3175,1017,145310,920,35229,911,33952,1249,1277,737,1114,704,163,262,110081,122,93949,1596,16132,1575,10251,1574,5881,1437
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",100605,*****,55651,1509,13323,906,13151,930,172,235,0,155,172,235,42328,1183,39209,792,3119,1278,1661,741,1458,1198,44954,1509,11186,938,10907,922,279,334,0,155,279,334,33768,1181,31434,1299,2334,546,854,373,1480,501
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",104365,*****,54259,602,14688,513,14688,513,0,155,0,155,0,155,39571,425,38050,713,1521,683,775,511,746,436,50106,602,13683,487,13562,487,121,120,31,59,90,118,36423,357,34502,648,1921,582,1166,364,755,411
0500000US04001,04001,"Apache County, Arizona",73112,*****,35514,524,9918,445,9918,445,0,204,0,204,0,204,25596,283,25119,394,477,325,233,301,244,179,37598,524,11032,443,11032,443,0,204,0,204,0,204,26566,280,26293,302,273,155,178,164,95,96
0500000US04003,04003,"Cochise County, Arizona",125770,*****,63326,521,13679,445,13312,548,367,323,43,75,324,313,49647,577,43704,926,5943,815,3159,790,2784,730,62444,521,14115,349,14012,343,103,94,0,204,103,94,48329,553,39052,1226,9277,1129,5824,1018,3453,901
0500000US04005,04005,"Coconino County, Arizona",140908,*****,70483,866,15143,758,15021,745,122,203,122,203,0,204,55340,568,53074,758,2266,689,1146,562,1120,613,70425,866,13901,737,13754,764,147,252,147,252,0,204,56524,473,54499,852,2025,708,974,461,1051,517
0500000US04013,04013,"Maricopa County, Arizona",4242997,*****,2097936,302,531243,232,511942,2809,19301,2811,4473,1150,14828,2582,1566693,245,1273562,7695,293131,7683,115314,5391,177817,6865,2145061,302,508872,232,491037,2342,17835,2382,5583,1651,12252,1996,1636189,244,1328062,7916,308127,7906,134745,6107,173382,7047
0500000US04015,04015,"Mohave County, Arizona",205249,*****,103278,733,18847,744,18621,808,226,328,0,204,226,328,84431,669,78861,1376,5570,1371,2586,866,2984,1172,101971,733,18018,729,18018,729,0,204,0,204,0,204,83953,399,78799,1163,5154,1117,3138,1033,2016,655
0500000US04017,04017,"Navajo County, Arizona",110026,*****,55099,521,15571,572,15412,618,159,259,0,204,159,259,39528,328,37774,733,1754,678,405,270,1349,565,54927,521,15143,509,15143,509,0,204,0,204,0,204,39784,225,38554,729,1230,725,639,361,591,488
0500000US04019,04019,"Pima County, Arizona",1016206,*****,499791,505,111080,554,107738,1251,3342,1193,705,419,2637,1130,388711,416,328428,3740,60283,3727,25713,2586,34570,3421,516415,505,106587,468,102475,1488,4112,1406,769,408,3343,1395,409828,402,341621,3610,68207,3529,33162,2494,35045,2836
0500000US04021,04021,"Pinal County, Arizona",418540,*****,217387,934,49806,802,48950,1046,856,614,186,209,670,588,167581,563,148317,2095,19264,2012,7444,1301,11820,1755,201153,934,48434,900,48128,1017,306,330,84,140,222,305,152719,91,135628,2456,17091,2465,8613,1731,8478,2057
0500000US04025,04025,"Yavapai County, Arizona",225562,*****,110885,1076,19725,1062,19693,1051,32,75,32,75,0,204,91160,627,85434,1969,5726,1907,3329,997,2397,1480,114677,1076,17555,981,17555,981,0,204,0,204,0,204,97122,460,90903,1565,6219,1551,3849,1125,2370,1073
0500000US04027,04027,"Yuma County, Arizona",205631,*****,106203,779,26939,689,25659,856,1280,599,210,257,1070,518,79264,550,53678,2155,25586,2030,11714,1916,13872,1875,99428,779,25444,583,23511,1288,1933,1062,891,876,1042,609,73984,430,47705,1713,26279,1629,12614,1716,13665,1532
